city,model_type,model_id,TP,FN,FP,TN,recall,precision
morocco-earthquake,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
myanmar-hurricane,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
myanmar-hurricane,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
nepal-flooding,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
nepal-flooding,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
noto-earthquake,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
noto-earthquake,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
palu-tsunami,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
palu-tsunami,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
pinery-bushfire,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
pinery-bushfire,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
portugal-wildfire,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
portugal-wildfire,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
santa-rosa-wildfire,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
santa-rosa-wildfire,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
socal-fire,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
socal-fire,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
sunda-tsunami,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
sunda-tsunami,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
turkey-earthquake,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
turkey-earthquake,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
tuscaloosa-tornado,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
tuscaloosa-tornado,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
ukraine-conflict,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
ukraine-conflict,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
woolsey-fire,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
woolsey-fire,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
