experiment_name,notebook,city,parquet_name,classifier_name,feature_set_name,n_samples,n_positive,n_negative,prevalence,threshold,auc,average_precision,log_loss,brier_score,accuracy,balanced_accuracy,f1,precision,recall,mcc,tp,fp,tn,fn,specificity,fpr,precision_at_recall_80,threshold_at_recall_80,precision_at_recall_90,threshold_at_recall_90,precision_at_recall_95,threshold_at_recall_95,n,note,is_xbd
C_A4_scene_landuse,NB08c_v6,Sievierodonetsk,bda_scene_landuse_v6,LightGBM-300-MIA,manifest_default_minus_leakage,4418.0,568.0,3850.0,0.12856496152105024,0.5,0.6328354216206329,0.17694535981948534,0.7236793121460818,0.26463756875876104,0.45156179266636487,0.6027794036948967,0.27433363282419887,0.16528329123060267,0.8063380281690141,0.14229038664069307,458.0,2313.0,1537.0,110.0,0.3992207792207792,0.6007792207792207,0.16612021857923498,0.5086922380918036,0.15279429250891796,0.43122833373038794,0.1411395713538944,0.38277760851583925,,,False
C_A4_scene_landuse,NB08c_v6,Trostianets,bda_scene_landuse_v6,LightGBM-300-MIA,manifest_default_minus_leakage,143.0,17.0,126.0,0.11888111888111888,0.5,0.5380485527544351,0.13521800998866282,0.6959187242787555,0.25097424001614405,0.5524475524475524,0.542483660130719,0.21951219512195122,0.13846153846153847,0.5294117647058824,0.055227791305300936,9.0,56.0,70.0,8.0,0.5555555555555556,0.4444444444444444,0.12389380530973451,0.34250112486417267,0.12878787878787878,0.3040071792621247,0.12878787878787878,0.3040071792621247,,,False
C_A4_scene_landuse,NB08c_v6,Volnovakha,bda_scene_landuse_v6,LightGBM-300-MIA,manifest_default_minus_leakage,1848.0,174.0,1674.0,0.09415584415584416,0.5,0.5203346654032601,0.09892096958663171,0.8197783644782907,0.3110464617559086,0.24134199134199133,0.527170106702921,0.1791569086651054,0.09973924380704041,0.8793103448275862,0.042256759215427264,153.0,1381.0,293.0,21.0,0.17502986857825567,0.8249701314217444,0.10312273057371096,0.5335249146674707,0.09663608562691131,0.4518055212488581,0.09606481481481481,0.3929392635709664,,,False
C_A5_scene_indices,NB08c_v6,Avdiivka,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,1186.0,93.0,1093.0,0.07841483979763912,0.5,0.8050644866157071,0.3094156568205802,0.36819822332764707,0.1134434130642097,0.8608768971332209,0.7130075062223927,0.37735849056603776,0.29069767441860467,0.5376344086021505,0.3252319910545449,50.0,122.0,971.0,43.0,0.888380603842635,0.11161939615736505,0.16483516483516483,0.3234013093397216,0.12389380530973451,0.1932644248010976,0.10090702947845805,0.08805235857950001,,,False
C_A5_scene_indices,NB08c_v6,Bucha,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,1662.0,194.0,1468.0,0.11672683513838748,0.5,0.7476930531756508,0.30413221674236124,0.5287593140420037,0.17209125783588475,0.7990373044524669,0.6558576083597853,0.35271317829457366,0.2826086956521739,0.4690721649484536,0.25324539742695495,91.0,231.0,1237.0,103.0,0.8426430517711172,0.15735694822888283,0.18374558303886926,0.3707351520966011,0.16143911439114392,0.3388941537771991,0.14208909370199693,0.3093114702617401,,,False
C_A5_scene_indices,NB08c_v6,Chernihiv,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,2810.0,358.0,2452.0,0.12740213523131672,0.5,0.633537096612502,0.20339334820343283,0.5064307455090309,0.16403267211809633,0.7896797153024911,0.5681828538099101,0.24713375796178344,0.22716627634660422,0.2709497206703911,0.12665751354484994,97.0,330.0,2122.0,261.0,0.865415986949429,0.13458401305057097,0.15185185185185185,0.2626916948169463,0.14850574712643677,0.23149665484288962,0.1357484076433121,0.18003868820733082,,,False
C_A5_scene_indices,NB08c_v6,Chornobaivka,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,142.0,13.0,129.0,0.09154929577464789,0.5,0.7775790101371497,0.27509043489108215,0.4630301649613207,0.15707124777341214,0.7605633802816901,0.6952892069171139,0.32,0.21621621621621623,0.6153846153846154,0.25661335640925625,8.0,29.0,100.0,5.0,0.7751937984496124,0.2248062015503876,0.1506849315068493,0.32297488689416426,0.15,0.29152973623893147,0.14942528735632185,0.2165411002218559,,,False
C_A5_scene_indices,NB08c_v6,Dmytrivka,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,3136.0,361.0,2775.0,0.11511479591836735,0.5,0.705126400638866,0.26727922791337966,0.5560426078052714,0.18526150828356208,0.765625,0.6494876594045569,0.3287671232876712,0.2452316076294278,0.4986149584487535,0.22536470494753574,180.0,554.0,2221.0,181.0,0.8003603603603604,0.19963963963963963,0.16245081506464307,0.3771344646385505,0.13564273789649417,0.3201128450106632,0.1260102865540044,0.2783601836977278,,,False
C_A5_scene_indices,NB08c_v6,Hostomel,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,4497.0,618.0,3879.0,0.13742494996664442,0.5,0.6247143568680747,0.20827341714875403,0.5492542394729254,0.18354704661447632,0.7649544140538137,0.5522392168935543,0.23238925199709515,0.21080368906455862,0.2588996763754045,0.09603736693178945,160.0,599.0,3280.0,458.0,0.8455787574117041,0.15442124258829595,0.1632585751978892,0.3446597634945963,0.15615363050182227,0.3025648611368196,0.15178110480123902,0.2623977184110763,,,False
C_A5_scene_indices,NB08c_v6,Irpin,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,2749.0,308.0,2441.0,0.11204074208803201,0.5,0.6648721516091447,0.23264867372563938,0.5618022110994023,0.1869875723053526,0.7991997089850855,0.6060601626967871,0.2849740932642487,0.23706896551724138,0.35714285714285715,0.17862384768147238,110.0,354.0,2087.0,198.0,0.854977468250717,0.1450225317492831,0.13653952459922608,0.37302360465308376,0.12688270196257417,0.3381165021529413,0.11862348178137652,0.30545263218262353,,,False
