model_id,fold_id,n,n_damaged,auc,cities,n_cities
CLF_F7_ExtraTrees,3,78593,3759,0.5772140342078975,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
CLF_F7_ExtraTrees,4,78729,1243,0.6784611328537504,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
NB08b_BDA_RGB_UISEM_voting,0,170104,238,0.8188692505719041,Kharkiv,1
NB08b_BDA_RGB_UISEM_voting,1,113042,84,0.6936257492249542,Mykolaiv,1
NB08b_BDA_RGB_UISEM_voting,2,107068,1628,0.7415916553494798,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB08b_BDA_RGB_UISEM_voting,3,103628,1947,0.7172095068543899,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB08b_BDA_RGB_UISEM_voting,4,104753,3435,0.7317185305533332,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB08b_BDA_RGB_AdaBoost,0,170104,238,0.8185299198270668,Kharkiv,1
NB08b_BDA_RGB_AdaBoost,1,113042,84,0.6925168773222917,Mykolaiv,1
NB08b_BDA_RGB_AdaBoost,2,107068,1628,0.7420050744417683,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB08b_BDA_RGB_AdaBoost,3,103628,1947,0.7176811951344433,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB08b_BDA_RGB_AdaBoost,4,104753,3435,0.7321232703190292,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
CLF_A9_LightGBM,0,170104,238,0.7856806581203354,Kharkiv,1
CLF_A9_LightGBM,1,75995,575,0.6066693300127979,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
CLF_A9_LightGBM,2,76892,1371,0.7325531715298301,Avdiivka|Bucha|Lysychansk|Makariv,4
CLF_A9_LightGBM,3,78593,3759,0.5942909336769311,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
CLF_A9_LightGBM,4,78729,1243,0.7895160632032997,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
NB08b_BDA_RGB+CARD_LightGBM,0,170104,238,0.7253014783674766,Kharkiv,1
NB08b_BDA_RGB+CARD_LightGBM,1,113042,84,0.4510236210846172,Mykolaiv,1
NB08b_BDA_RGB+CARD_LightGBM,2,107068,1628,0.724918648494853,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
