model_id,fold_id,n,n_damaged,auc,cities,n_cities
R5_XGBoost_dietrich28,1,113042,84,0.6353618896699069,Mykolaiv,1
R5_XGBoost_dietrich28,2,107068,1628,0.773565881524199,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
R5_XGBoost_dietrich28,3,103628,1947,0.7046923850039744,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
R5_XGBoost_dietrich28,4,104753,3435,0.8353511834832051,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
CLF_F7_LightGBM,0,170104,238,0.5940526205183779,Kharkiv,1
CLF_F7_LightGBM,1,75995,575,0.6456701947355677,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
CLF_F7_LightGBM,2,76892,1371,0.7572046828097365,Avdiivka|Bucha|Lysychansk|Makariv,4
CLF_F7_LightGBM,3,78593,3759,0.7309151589027733,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
CLF_F7_LightGBM,4,78729,1243,0.8091807475500881,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200-Optuna,0,170104,238,0.6674633524774397,Kharkiv,1
NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200-Optuna,1,113042,84,0.6504964129103191,Mykolaiv,1
NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200-Optuna,2,107068,1628,0.7517355143113869,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200-Optuna,3,103628,1947,0.6417935738045206,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200-Optuna,4,104753,3435,0.8270773232090709,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200-Optuna,0,170104,238,0.7462187322740901,Kharkiv,1
NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200-Optuna,1,72963,956,0.7836622825430792,Avdiivka|Chernihiv|Sievierodonetsk,3
NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200-Optuna,2,74783,1301,0.6605711959535767,Bucha|Kramatorsk|Lysychansk|Makariv,4
NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200-Optuna,3,70958,3546,0.753257019265726,Irpin|Kherson|Mariupol|Moschun|Volnovakha,5
NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200-Optuna,4,77896,714,0.7646695899473522,Chornobaivka|Dmytrivka|Hostomel|Okhtyrka|Trostianets,5
NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA-Optuna,0,170104,238,0.7251291477701604,Kharkiv,1
NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA-Optuna,1,75995,575,0.5488005833996288,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA-Optuna,2,76892,1371,0.6442563866889914,Avdiivka|Bucha|Lysychansk|Makariv,4
NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA-Optuna,3,78593,3759,0.7085572402823188,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA-Optuna,4,78729,1243,0.7831535612412501,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
R5_LightGBM_dietrich28,0,170104,238,0.657255998722473,Kharkiv,1
R5_LightGBM_dietrich28,1,113042,84,0.6076036268010276,Mykolaiv,1
R5_LightGBM_dietrich28,2,107068,1628,0.7470911382697707,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
R5_LightGBM_dietrich28,3,103628,1947,0.6971825265969347,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
R5_LightGBM_dietrich28,4,104753,3435,0.7388564240055514,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11e_all_multimodal__fusion_composite_blockstats__LightGBM-Optuna,0,170104,238,0.7967480694372342,Kharkiv,1
