model_id,n_folds,auc_mean,auc_std,auc_cv,auc_min,auc_max,auc_range
NB08b_BDA_COH_DROP+RGB+CARD_ExtraTrees,5,0.6862,0.0515,0.0751,0.615,0.7379,0.1229
E6_A_impute+obs_card+coh,5,0.5638,0.0421,0.0748,0.5174,0.6149,0.0975
E6_B_nativeNaN_card_only,5,0.5208,0.0381,0.0732,0.4798,0.5651,0.0853
E6_C_SAR_only_no_NaN,5,0.5584,0.0406,0.0727,0.5116,0.6,0.0884
NB08b_BDA_RGB+CARD_XGBoost,5,0.7046,0.0498,0.0707,0.6263,0.7456,0.1193
R3b_coh_only,5,0.489,0.0345,0.0706,0.4321,0.5154,0.0833
E6_A_impute+obs_coh_only,5,0.489,0.0345,0.0706,0.4321,0.5154,0.0833
E2_LightGBM_card,5,0.5164,0.0364,0.0704,0.4805,0.563,0.0825
D1i_allblocks_groupkfold,5,0.5394,0.0379,0.0702,0.4925,0.5836,0.0912
CLF_A17_ExtraTrees,5,0.5682,0.0397,0.0699,0.5158,0.6205,0.1047
R5_XGBoost_all_multimodal,5,0.6442,0.0446,0.0693,0.5755,0.6998,0.1242
E2_LightGBM_ms,5,0.6506,0.0447,0.0688,0.5791,0.6902,0.1111
B7_UISEM_coh+ms,5,0.6486,0.0445,0.0686,0.5763,0.6923,0.116
B7_UISEM_coh_only,5,0.4882,0.0334,0.0683,0.4316,0.5135,0.0819
E2_LightGBM_coh,5,0.4905,0.0334,0.0681,0.4349,0.5246,0.0897
E6_B_nativeNaN_coh_only,5,0.4905,0.0334,0.0681,0.4349,0.5246,0.0897
CLF_F7_GBM,5,0.7613,0.0515,0.0677,0.6743,0.7967,0.1224
B6_AdaBoost_alone,5,0.6487,0.0439,0.0677,0.5984,0.718,0.1196
E7d_MLP_128_64,5,0.625,0.0421,0.0673,0.5679,0.6708,0.103
R5_LightGBM_all_multimodal,5,0.643,0.0426,0.0662,0.5764,0.6901,0.1136
NB08b_BDA_CARD_RF-200,5,0.6297,0.0416,0.0661,0.5578,0.662,0.1043
E2_LightGBM_card+coh,5,0.5243,0.0344,0.0657,0.489,0.5622,0.0732
NB08b_BDA_COH_DROP+RGB_XGBoost,5,0.7101,0.0466,0.0656,0.6696,0.7713,0.1017
NB08b_BDA_COH_DROP+RGB+CARD_LightGBM,5,0.675,0.0442,0.0654,0.6286,0.7293,0.1007
B7_UISEM_ms_only,5,0.6539,0.0426,0.0652,0.587,0.6938,0.1067
NB08b_BDA_RGB_ExtraTrees,5,0.7419,0.0483,0.0651,0.695,0.822,0.127
NB08b_BDA_RGB_LogReg,5,0.7421,0.0483,0.0651,0.695,0.8223,0.1273
NB08b_BDA_RGB_XGBoost,5,0.7418,0.0481,0.0649,0.694,0.8213,0.1273
NB08b_BDA_RGB_LightGBM,5,0.7396,0.0474,0.0641,0.6934,0.8185,0.1251
NB08b_BDA_RGB_AdaBoost,5,0.7406,0.0474,0.064,0.6925,0.8185,0.126
NB08b_BDA_RGB_UISEM_voting,5,0.7406,0.0473,0.0639,0.6936,0.8189,0.1252
D2_coh-only,5,0.4946,0.0315,0.0637,0.444,0.5219,0.0779
NB08b_BDA_RGB_RF-200,5,0.7395,0.0465,0.0629,0.6926,0.8161,0.1235
R3_ms_only_A9,5,0.6529,0.0405,0.0621,0.5876,0.6803,0.0927
NB08b_BDA_RGB_GBM,5,0.7398,0.0459,0.0621,0.6938,0.8158,0.122
R3b_card_coh,5,0.5605,0.0347,0.0619,0.5142,0.6006,0.0863
NB08b_BDA_COH_DROP+RGB+CARD_LogReg,5,0.717,0.0442,0.0616,0.6523,0.761,0.1087
R4b_tier0_all,4,0.6961,0.0426,0.0612,0.6546,0.7553,0.1007
E1_base_XGB,5,0.6205,0.0377,0.0608,0.5711,0.6771,0.106
B5_sub_XGB,5,0.6205,0.0377,0.0608,0.5711,0.6771,0.106
R5_GBM_all_multimodal,5,0.6345,0.0383,0.0603,0.5827,0.6761,0.0934
E1_base_GBM,5,0.6345,0.0383,0.0603,0.5827,0.6761,0.0934
NB08b_BDA_COH_DROP+RGB_LogReg,5,0.7286,0.044,0.0603,0.6629,0.7706,0.1077
B5_sub_GBM,5,0.646,0.0386,0.0597,0.5856,0.6887,0.1031
NB08b_BDA_COH_DROP+RGB+CARD_XGBoost,5,0.7022,0.041,0.0583,0.6446,0.7455,0.1009
D2_ms-only,5,0.6453,0.0374,0.058,0.5887,0.6789,0.0902
E7c_HistGBM_imputed,5,0.6512,0.0376,0.0578,0.5995,0.6978,0.0983
E7b_QDA,5,0.5863,0.0336,0.0573,0.5504,0.628,0.0776
E7_KNN_15,5,0.5872,0.0336,0.0572,0.5522,0.6229,0.0707
E5_HistGBM_native_NaN,5,0.6533,0.0373,0.057,0.6044,0.7018,0.0974
E6_B_nativeNaN_all_multimodal,5,0.6436,0.0366,0.0568,0.5894,0.6865,0.0971
E5_LightGBM_native_NaN,5,0.6436,0.0366,0.0568,0.5894,0.6865,0.0971
NB08b_BDA_COH_DROP+CARD_AdaBoost,5,0.6775,0.0383,0.0566,0.6319,0.7306,0.0986
D1c_post_composite,5,0.6303,0.0353,0.056,0.5806,0.6688,0.0883
NB08b_BDA_COH_DROP+RGB_GBM,5,0.7198,0.0401,0.0558,0.6803,0.7714,0.0912
B7_UISEM_card+ms,5,0.6589,0.0365,0.0554,0.6124,0.6998,0.0873
D1j_dynamic_groupkfold,5,0.5755,0.0319,0.0554,0.5217,0.6015,0.0799
B6_UISEM_no_AdaBoost,5,0.6579,0.0355,0.0539,0.6055,0.7004,0.095
B7_UISEM_all_multimodal,5,0.6579,0.0355,0.0539,0.6055,0.7004,0.095
D1c_pre_composite,5,0.6425,0.0344,0.0536,0.5913,0.6697,0.0784
B5_UISEM_all_features,5,0.6652,0.0349,0.0524,0.6138,0.6977,0.0839
E7_SVM_linear,5,0.5251,0.0272,0.0518,0.4971,0.5699,0.0728
E6_A_impute+obs_all_multimodal,5,0.6564,0.0333,0.0507,0.618,0.6979,0.08
R4b_tier1_all,5,0.6371,0.0321,0.0504,0.5993,0.6726,0.0733
D6_sar_only,5,0.5349,0.0269,0.0503,0.507,0.5654,0.0585
R3b_ms_only,5,0.6547,0.0326,0.0498,0.6049,0.681,0.0761
E1_soft_voting,5,0.6596,0.0324,0.0492,0.6181,0.7018,0.0837
R3_card_block_stats_A15,5,0.5496,0.0268,0.0488,0.5169,0.5862,0.0693
NB08b_BDA_RGB+CARD_AdaBoost,5,0.7318,0.0353,0.0482,0.6916,0.7813,0.0897
