city,feature,method,bhattacharyya,jm_distance,chi2,chi2_p,cramers_v,separability
Avdiivka,s2__composite__mndwi__post_winter_baseline_max,bhattacharyya,0.2194138329917305,0.394021308196548,,,,poor
Avdiivka,s2__composite__mndwi__post_winter_baseline_mean,bhattacharyya,0.15352142116254042,0.2846352171037392,,,,poor
Avdiivka,s2__composite__mndwi__post_winter_baseline_std,bhattacharyya,0.2563022378067601,0.4521839416480826,,,,poor
Avdiivka,s2__composite__mndwi__prebattle_baseline_max,bhattacharyya,0.11191961259221729,0.21176773942108884,,,,poor
Avdiivka,s2__composite__mndwi__prebattle_baseline_mean,bhattacharyya,0.07386582697663813,0.14240739022061177,,,,poor
Avdiivka,s2__composite__mndwi__prebattle_baseline_std,bhattacharyya,0.04976234836238166,0.0970889748095276,,,,poor
Avdiivka,s2__composite__mndwi__winter_baseline_max,bhattacharyya,0.11191961259221729,0.21176773942108884,,,,poor
Avdiivka,s2__composite__mndwi__winter_baseline_mean,bhattacharyya,0.07386582697663813,0.14240739022061177,,,,poor
Avdiivka,s2__composite__mndwi__winter_baseline_std,bhattacharyya,0.04976234836238166,0.0970889748095276,,,,poor
Avdiivka,s2__composite__ndbi__post_winter_baseline_max,bhattacharyya,0.0156514461983047,0.031059197676637673,,,,poor
Avdiivka,s2__composite__ndbi__post_winter_baseline_mean,bhattacharyya,0.11367588556378655,0.2149056071245523,,,,poor
Avdiivka,s2__composite__ndbi__post_winter_baseline_std,bhattacharyya,0.30581894606402493,0.526960085555497,,,,poor
Avdiivka,s2__composite__ndbi__prebattle_baseline_max,bhattacharyya,0.24494197827884803,0.43450009315229754,,,,poor
Avdiivka,s2__composite__ndbi__prebattle_baseline_mean,bhattacharyya,0.02572586207670839,0.05079554315685697,,,,poor
Avdiivka,s2__composite__ndbi__prebattle_baseline_std,bhattacharyya,0.2162300676521519,0.38890010086615145,,,,poor
Avdiivka,s2__composite__ndbi__winter_baseline_max,bhattacharyya,0.24494197827884803,0.43450009315229754,,,,poor
Avdiivka,s2__composite__ndbi__winter_baseline_mean,bhattacharyya,0.02572586207670839,0.05079554315685697,,,,poor
Avdiivka,s2__composite__ndbi__winter_baseline_std,bhattacharyya,0.2162300676521519,0.38890010086615145,,,,poor
Avdiivka,s2__composite__ndre__post_winter_baseline_max,bhattacharyya,0.12754699148921408,0.23949589898483503,,,,poor
