city,feature,auc_raw,auc_best,direction,mann_whitney_u,mann_whitney_p,mean_damaged,mean_control,n_valid
Trostianets,s2__composite__b04__winter_baseline_std,0.7707178448089104,0.7707178448089104,higher=damaged,120958.0,1.440256959203083e-05,0.04041852290320117,0.02127327593568889,8737
Trostianets,s2__composite__b03__prebattle_baseline_std,0.7616061984682239,0.7616061984682239,higher=damaged,119528.0,2.7694817295820627e-05,0.03606396012789347,0.019824784388466223,8737
Trostianets,s2__composite__b03__winter_baseline_std,0.7616061984682239,0.7616061984682239,higher=damaged,119528.0,2.7694817295820627e-05,0.03606396012789347,0.019824784388466223,8737
Trostianets,s2__composite__b8a__prebattle_baseline_std,0.7521122452880682,0.7521122452880682,higher=damaged,118038.0,5.356139602501495e-05,0.023458911029477152,0.013301805993586829,8737
Trostianets,s2__composite__b8a__winter_baseline_std,0.7521122452880682,0.7521122452880682,higher=damaged,118038.0,5.356139602501495e-05,0.023458911029477152,0.013301805993586829,8737
Trostianets,s2__composite__b02__prebattle_baseline_std,0.7513922340737342,0.7513922340737342,higher=damaged,117925.0,5.625805817953755e-05,0.03652428789400972,0.020824107258517324,8737
Trostianets,s2__composite__b02__winter_baseline_std,0.7513922340737342,0.7513922340737342,higher=damaged,117925.0,5.625805817953755e-05,0.03652428789400972,0.020824107258517324,8737
Trostianets,s2__composite__b08__prebattle_baseline_std,0.7460208229791896,0.7460208229791896,higher=damaged,117082.0,8.083371388785504e-05,0.044640536592849736,0.02497840506987876,8737
Trostianets,s2__composite__b08__winter_baseline_std,0.7460208229791896,0.7460208229791896,higher=damaged,117082.0,8.083371388785504e-05,0.044640536592849736,0.02497840506987876,8737
Trostianets,s2__composite__b05__prebattle_baseline_std,0.7407067579105657,0.7407067579105657,higher=damaged,116248.0,0.00011489610179853296,0.025239540672058452,0.013307461119660132,8737
Trostianets,s2__composite__b05__winter_baseline_std,0.7407067579105657,0.7407067579105657,higher=damaged,116248.0,0.00011489610179853296,0.025239540672058452,0.013307461119660132,8737
Trostianets,s2__composite__ndbi__post_winter_baseline_std,0.7369091766385035,0.7369091766385035,higher=damaged,115652.0,0.00014709705879516725,0.03553114754791384,0.02326238736945867,8737
Trostianets,s2__composite__b02__post_winter_baseline_max,0.7357877432427266,0.7357877432427266,higher=damaged,115476.0,0.00015797903310445411,0.19233194407489565,0.16326749997307693,8737
Trostianets,s2__composite__b02__post_winter_baseline_std,0.7304354474901557,0.7304354474901557,higher=damaged,114636.0,0.00022232959821377816,0.014143493560902764,0.0068076027750699495,8737
Trostianets,s2__composite__b03__post_winter_baseline_std,0.7238725134125983,0.7238725134125983,higher=damaged,113606.0,0.00033445982861686946,0.014872567109327868,0.007613550694772343,8737
Trostianets,s2__composite__b03__post_winter_baseline_max,0.7222477093448534,0.7222477093448534,higher=damaged,113351.0,0.00036944415323309,0.20002613382207024,0.1711755233926502,8737
Trostianets,s2__composite__b02__post_winter_baseline_mean,0.713499254501663,0.713499254501663,higher=damaged,111978.0,0.0006243147617097924,0.16870221963145826,0.15316615078576512,8737
Trostianets,s2__composite__b04__prebattle_baseline_max,0.7133781906691645,0.7133781906691645,higher=damaged,111959.0,0.0006287822953205479,0.4258443100584878,0.31136527913181944,8737
