model_id,variant_id,n,n_damaged,auc,n_cities,n_folds,TP,FN,FP,TN,is_leaky,is_degenerate
NB08b_BDA_COH_DROP+RGB+CARD_ExtraTrees,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=ExtraTrees,205942,6144,0.6476,12,5,1551,4593,10745,189053,False,False
D2_sar_+_ms_+_coh,ablation=SAR + MS + COH (full),62043,8080,0.6468,19,5,32,8048,55,53908,False,False
CLF_A17_RF_200,classifier=RF_200;parquet=A17,598595,7332,0.6466,21,5,638,6694,33787,557476,False,False
ABL_ROLLING_SAR_ALL,scenario=ROLLING_SAR;sensor=ALL;parquet=A17,598595,7332,0.6466,21,5,638,6694,33787,557476,False,False
B7_UISEM_ms_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=ms_only,62043,8080,0.6465,19,5,340,7740,567,53396,False,False
D4_f8_strategy_B_impute,nan_strategy=B_impute_all_rows,62043,8080,0.6464,19,5,35,8045,61,53902,False,False
D2_all_features,ablation=All features (clean),62043,8080,0.6464,19,5,35,8045,61,53902,False,False
D6_ms_only,sensor=MS_only,62043,8080,0.6464,19,5,104,7976,128,53835,False,False
D4_a9_ms_only,nan_strategy=no_nan_baseline,62043,8080,0.6464,19,5,104,7976,128,53835,False,False
B6_UISEM_no_AdaBoost,uisem_ensemble;sub=RF+GB+XGB;features=all_multimodal;ablation=no_adaboost,62043,8080,0.6459,19,5,196,7884,367,53596,False,False
B7_UISEM_all_multimodal,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=all_multimodal,62043,8080,0.6459,19,5,196,7884,367,53596,False,False
D2_ms-only,ablation=MS-only (optical composites),62043,8080,0.6459,19,5,110,7970,142,53821,False,False
NB08b_BDA_COH_DROP_LogReg,dataset=BDA;feature_set=COH_DROP;classifier=LogReg,21434,1431,0.6458,12,5,867,564,7009,12994,False,False
E2_LightGBM_ms,lightgbm_sensor_ablation;sensor=ms,62043,8080,0.6455,19,5,3022,5058,10580,43383,False,False
NB08b_BDA_COH_DROP+RGB_ExtraTrees,dataset=BDA;feature_set=COH_DROP+RGB;classifier=ExtraTrees,205942,6144,0.6443,12,5,2163,3981,21025,178773,False,False
NB08b_BDA_CARD_ExtraTrees,dataset=BDA;feature_set=CARD;classifier=ExtraTrees,368288,6431,0.6441,21,5,111,6320,256,361601,False,False
NB08b_xBD_RGB_AdaBoost,dataset=xBD;feature_set=RGB;classifier=AdaBoost,70931,22559,0.6435,19,5,952,21607,1107,47265,False,False
D1c_pre_composite,pre_only,62043,8080,0.6431,19,5,113,7967,133,53830,False,False
NB08b_BDA_RGB+CARD_GBM,dataset=BDA;feature_set=RGB+CARD;classifier=GBM,598595,7332,0.6425,21,5,42,7290,11832,579431,False,False
NB08b_BDA_COH_DROP+RGB_LightGBM,dataset=BDA;feature_set=COH_DROP+RGB;classifier=LightGBM,205942,6144,0.6408,12,5,2926,3218,41966,157832,False,False
B0_single_s1_vh_median,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.6403,21,1,5357,1975,276755,314508,False,False
E1_base_LGBM,stacking_base;classifier=LGBM;features=all_multimodal,62043,8080,0.6398,19,5,2391,5689,7623,46340,False,False
E2_LightGBM_all,lightgbm;features=all_multimodal,62043,8080,0.6398,19,5,2391,5689,7623,46340,False,False
B5_sub_GBM,uisem_sub_classifier;classifier=GBM;features=all_multimodal,62043,8080,0.6394,19,5,154,7926,251,53712,False,False
B7_UISEM_coh+ms,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=coh+ms,62043,8080,0.6362,19,5,227,7853,481,53482,False,False
R3_ms_plus_cohdrop_F7,nb09a;cell=R3,51293,6867,0.6348,11,5,167,6700,221,44205,False,False
E7b_RidgeClassifier,probabilistic;classifier=RidgeClassifier,62043,8080,0.634,19,5,4444,3636,19144,34819,False,False
R5_XGBoost_all_multimodal,nb09a;cell=R5,62043,8080,0.6333,19,5,153,7927,364,53599,False,False
B0_single_s1_vv_median,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.6322,21,1,5255,2077,275645,315618,False,False
R5_GBM_all_multimodal,nb09a;cell=R5,62043,8080,0.6321,19,5,225,7855,588,53375,False,False
E1_base_GBM,stacking_base;classifier=GBM;features=all_multimodal,62043,8080,0.6321,19,5,225,7855,588,53375,False,False
D1i_allblocks_random,random_cv,63243,8247,0.6321,21,5,200,8047,355,54641,True,False
NB08b_xBD_RGB_LogReg,dataset=xBD;feature_set=RGB;classifier=LogReg,70931,22559,0.6316,19,5,12925,9634,18393,29979,False,False
E7d_MLP_256_128_64,mlp;classifier=MLP_256_128_64,62043,8080,0.6316,19,5,128,7952,338,53625,False,False
R5_LightGBM_all_multimodal,nb09a;cell=R5,62043,8080,0.6313,19,5,2177,5903,7490,46473,False,False
E7b_LDA,discriminant;classifier=LDA,62043,8080,0.6305,19,5,288,7792,1110,52853,False,False
E6_B_nativeNaN_all_multimodal,nan_ablation;strategy=B_native_nan;modality=all_multimodal,62043,8080,0.63,19,5,2138,5942,7317,46646,False,False
E5_LightGBM_native_NaN,lightgbm_native_nan;imputation=none,62043,8080,0.63,19,5,2138,5942,7317,46646,False,False
NB08b_BDA_COH_DROP+CARD_LightGBM,dataset=BDA;feature_set=COH_DROP+CARD;classifier=LightGBM,130789,5427,0.6291,12,5,2059,3368,20987,104375,False,False
NB08b_BDA_COH_DROP+RGB_RF-200,dataset=BDA;feature_set=COH_DROP+RGB;classifier=RF-200,205942,6144,0.6277,12,5,2149,3995,24011,175787,False,False
