feature,city,auc,source
s1__coh__max_drop__p90,Hostomel,0.5224201179531974,coh_drop
s1__coh__max_drop__std,Hostomel,0.507135968216544,coh_drop
s1__coh__max_drop__min,Hostomel,0.5210547875832943,coh_drop
s1__coh__max_drop__max,Hostomel,0.5317828302927305,coh_drop
s1__coh__max_drop__max_abs_delta,Hostomel,0.5151836167030004,coh_drop
s1__coh__scenes_observed__mean,Hostomel,0.5096040333352523,coh_drop
s1__coh__scenes_observed__p10,Hostomel,0.5055034535808531,coh_drop
s1__coh__scenes_observed__p50,Hostomel,0.5047083666010073,coh_drop
s1__coh__scenes_observed__p90,Hostomel,0.5012889920082495,coh_drop
s1__coh__scenes_observed__std,Hostomel,0.5075412289725356,coh_drop
s1__coh__scenes_observed__min,Hostomel,0.5096086219799418,coh_drop
s1__coh__scenes_observed__max,Hostomel,0.5041247744263986,coh_drop
s1__coh__scenes_observed__max_abs_delta,Hostomel,0.5075395603744668,coh_drop
s1__coh__lu_transition,Hostomel,0.5296806053006354,coh_drop
was_observed_cohdrop,Hostomel,0.5498195411188451,coh_drop
s1__coh__running_min__mean,Irpin,0.5112525737269695,coh_drop
s1__coh__running_min__p10,Irpin,0.5154104396218284,coh_drop
s1__coh__running_min__p50,Irpin,0.5110989481636757,coh_drop
s1__coh__running_min__p90,Irpin,0.5044245492320053,coh_drop
s1__coh__running_min__std,Irpin,0.5105456301175268,coh_drop
s1__coh__running_min__min,Irpin,0.5148897088163782,coh_drop
s1__coh__running_min__max,Irpin,0.5050177700218667,coh_drop
s1__coh__running_min__max_abs_delta,Irpin,0.5109247061827972,coh_drop
s1__coh__drop_count__mean,Irpin,0.5087626425192997,coh_drop
s1__coh__drop_count__p10,Irpin,0.5021939858584676,coh_drop
s1__coh__drop_count__p50,Irpin,0.5091570146363263,coh_drop
s1__coh__drop_count__p90,Irpin,0.502003782780104,coh_drop
s1__coh__drop_count__std,Irpin,0.512515495565475,coh_drop
s1__coh__drop_count__min,Irpin,0.515492905292168,coh_drop
s1__coh__drop_count__max,Irpin,0.5013626786977872,coh_drop
s1__coh__drop_count__max_abs_delta,Irpin,0.5133268513542991,coh_drop
s1__coh__date_first_drop__mean,Irpin,0.5276565916672431,coh_drop
s1__coh__date_first_drop__p10,Irpin,0.5002839745260885,coh_drop
s1__coh__date_first_drop__p50,Irpin,0.5210832796863112,coh_drop
s1__coh__date_first_drop__p90,Irpin,0.5093146304739915,coh_drop
s1__coh__date_first_drop__std,Irpin,0.5191865692685029,coh_drop
s1__coh__date_first_drop__min,Irpin,0.5275734609511751,coh_drop
s1__coh__date_first_drop__max,Irpin,0.5177507355405757,coh_drop
s1__coh__date_first_drop__max_abs_delta,Irpin,0.5223455364790882,coh_drop
s1__coh__date_worst_drop__mean,Irpin,0.5170584229371611,coh_drop
s1__coh__date_worst_drop__p10,Irpin,0.5020150885574891,coh_drop
s1__coh__date_worst_drop__p50,Irpin,0.5195470240533739,coh_drop
s1__coh__date_worst_drop__p90,Irpin,0.5157223460685156,coh_drop
s1__coh__date_worst_drop__std,Irpin,0.5247184196385344,coh_drop
s1__coh__date_worst_drop__min,Irpin,0.520359709933655,coh_drop
s1__coh__date_worst_drop__max,Irpin,0.5451273429561017,coh_drop
s1__coh__date_worst_drop__max_abs_delta,Irpin,0.5204840734848928,coh_drop
s1__coh__max_drop__mean,Irpin,0.5094855472262274,coh_drop
s1__coh__max_drop__p10,Irpin,0.5122408316795861,coh_drop
s1__coh__max_drop__p50,Irpin,0.5065493703347044,coh_drop
s1__coh__max_drop__p90,Irpin,0.5080131359832303,coh_drop
s1__coh__max_drop__std,Irpin,0.5212475459812617,coh_drop
s1__coh__max_drop__min,Irpin,0.5007800986395824,coh_drop
s1__coh__max_drop__max,Irpin,0.5332137137749592,coh_drop
s1__coh__max_drop__max_abs_delta,Irpin,0.5161326792830276,coh_drop
s1__coh__scenes_observed__mean,Irpin,0.5008885010933353,coh_drop
s1__coh__scenes_observed__p10,Irpin,0.5015582021419793,coh_drop
s1__coh__scenes_observed__p50,Irpin,0.5021121852338566,coh_drop
s1__coh__scenes_observed__p90,Irpin,0.5001848827125354,coh_drop
s1__coh__scenes_observed__std,Irpin,0.5009057922822773,coh_drop
s1__coh__scenes_observed__min,Irpin,0.5008865059561496,coh_drop
s1__coh__scenes_observed__max,Irpin,0.5002367562793618,coh_drop
s1__coh__scenes_observed__max_abs_delta,Irpin,0.5009137728310198,coh_drop
s1__coh__lu_transition,Irpin,0.5060459307181961,coh_drop
was_observed_cohdrop,Irpin,0.5170763791718318,coh_drop
s1__coh__running_min__mean,Lysychansk,0.5011608889249287,coh_drop
s1__coh__running_min__p10,Lysychansk,0.5006459046818117,coh_drop
s1__coh__running_min__p50,Lysychansk,0.5020311632496781,coh_drop
s1__coh__running_min__p90,Lysychansk,0.500956791677593,coh_drop
s1__coh__running_min__std,Lysychansk,0.504166762034119,coh_drop
s1__coh__running_min__min,Lysychansk,0.5025090686272906,coh_drop
s1__coh__running_min__max,Lysychansk,0.5014742609240419,coh_drop
s1__coh__running_min__max_abs_delta,Lysychansk,0.502712381136732,coh_drop
s1__coh__drop_count__mean,Lysychansk,0.5044448208279901,coh_drop
s1__coh__drop_count__p10,Lysychansk,0.5002921840759679,coh_drop
s1__coh__drop_count__p50,Lysychansk,0.504236669101534,coh_drop
s1__coh__drop_count__p90,Lysychansk,0.5002921840759679,coh_drop
s1__coh__drop_count__std,Lysychansk,0.5023940391309552,coh_drop
s1__coh__drop_count__min,Lysychansk,0.502045288531775,coh_drop
s1__coh__drop_count__max,Lysychansk,0.5044371042386964,coh_drop
s1__coh__drop_count__max_abs_delta,Lysychansk,0.5023918157069214,coh_drop
s1__coh__date_first_drop__mean,Lysychansk,0.5097138126294408,coh_drop
s1__coh__date_first_drop__p10,Lysychansk,0.5016070124178232,coh_drop
s1__coh__date_first_drop__p50,Lysychansk,0.509710215914092,coh_drop
s1__coh__date_first_drop__p90,Lysychansk,0.5016070124178232,coh_drop
s1__coh__date_first_drop__std,Lysychansk,0.5056610991692896,coh_drop
s1__coh__date_first_drop__min,Lysychansk,0.5097196327688234,coh_drop
s1__coh__date_first_drop__max,Lysychansk,0.5097197635584725,coh_drop
s1__coh__date_first_drop__max_abs_delta,Lysychansk,0.5056612953537631,coh_drop
s1__coh__date_worst_drop__mean,Lysychansk,0.5126851572712832,coh_drop
s1__coh__date_worst_drop__p10,Lysychansk,0.5070381833840907,coh_drop
s1__coh__date_worst_drop__p50,Lysychansk,0.512694770310488,coh_drop
s1__coh__date_worst_drop__p90,Lysychansk,0.5070416493097903,coh_drop
s1__coh__date_worst_drop__std,Lysychansk,0.5113623507608362,coh_drop
s1__coh__date_worst_drop__min,Lysychansk,0.512687642274615,coh_drop
s1__coh__date_worst_drop__max,Lysychansk,0.5127204704765256,coh_drop
s1__coh__date_worst_drop__max_abs_delta,Lysychansk,0.5113652935279396,coh_drop
s1__coh__max_drop__mean,Lysychansk,0.5175063907092265,coh_drop
s1__coh__max_drop__p10,Lysychansk,0.5046092234168403,coh_drop
s1__coh__max_drop__p50,Lysychansk,0.5175243088911458,coh_drop
s1__coh__max_drop__p90,Lysychansk,0.5024879460989699,coh_drop
s1__coh__max_drop__std,Lysychansk,0.5095207671074495,coh_drop
s1__coh__max_drop__min,Lysychansk,0.5202102705187706,coh_drop
s1__coh__max_drop__max,Lysychansk,0.5154924916932224,coh_drop
s1__coh__max_drop__max_abs_delta,Lysychansk,0.5095263910623585,coh_drop
s1__coh__scenes_observed__mean,Lysychansk,0.5127284486451174,coh_drop
s1__coh__scenes_observed__p10,Lysychansk,0.5070429572062808,coh_drop
s1__coh__scenes_observed__p50,Lysychansk,0.5127148465216166,coh_drop
s1__coh__scenes_observed__p90,Lysychansk,0.5070387065426868,coh_drop
s1__coh__scenes_observed__std,Lysychansk,0.5014609203798392,coh_drop
s1__coh__scenes_observed__min,Lysychansk,0.5127284486451174,coh_drop
s1__coh__scenes_observed__max,Lysychansk,0.5127085686184624,coh_drop
s1__coh__scenes_observed__max_abs_delta,Lysychansk,0.5014609203798392,coh_drop
s1__coh__lu_transition,Lysychansk,0.5037562133257649,coh_drop
was_observed_cohdrop,Lysychansk,0.533671729751964,coh_drop
s1__coh__running_min__mean,Mariupol,0.5039278004111175,coh_drop
s1__coh__running_min__p10,Mariupol,0.5048770452458325,coh_drop
s1__coh__running_min__p50,Mariupol,0.5024959343223301,coh_drop
s1__coh__running_min__p90,Mariupol,0.5038686285764853,coh_drop
s1__coh__running_min__std,Mariupol,0.5127233603769374,coh_drop
s1__coh__running_min__min,Mariupol,0.5155199492630463,coh_drop
s1__coh__running_min__max,Mariupol,0.5061295574672726,coh_drop
s1__coh__running_min__max_abs_delta,Mariupol,0.5146832670312561,coh_drop
s1__coh__drop_count__mean,Mariupol,0.508697500877095,coh_drop
s1__coh__drop_count__p10,Mariupol,0.5001080331882961,coh_drop
s1__coh__drop_count__p50,Mariupol,0.5065380496487677,coh_drop
s1__coh__drop_count__p90,Mariupol,0.5000730104088609,coh_drop
s1__coh__drop_count__std,Mariupol,0.5049329940773092,coh_drop
s1__coh__drop_count__min,Mariupol,0.5039751832511978,coh_drop
s1__coh__drop_count__max,Mariupol,0.5086364280964267,coh_drop
s1__coh__drop_count__max_abs_delta,Mariupol,0.5048814182039975,coh_drop
s1__coh__date_first_drop__mean,Mariupol,0.5205256330134654,coh_drop
s1__coh__date_first_drop__p10,Mariupol,0.500147053430383,coh_drop
s1__coh__date_first_drop__p50,Mariupol,0.5227576722182008,coh_drop
s1__coh__date_first_drop__p90,Mariupol,0.500255446468546,coh_drop
s1__coh__date_first_drop__std,Mariupol,0.5014579552041363,coh_drop
s1__coh__date_first_drop__min,Mariupol,0.5030567525170402,coh_drop
s1__coh__date_first_drop__max,Mariupol,0.520173207005795,coh_drop
s1__coh__date_first_drop__max_abs_delta,Mariupol,0.5016520472703792,coh_drop
s1__coh__date_worst_drop__mean,Mariupol,0.5250122176852628,coh_drop
s1__coh__date_worst_drop__p10,Mariupol,0.5026661667778342,coh_drop
s1__coh__date_worst_drop__p50,Mariupol,0.5264150376315346,coh_drop
s1__coh__date_worst_drop__p90,Mariupol,0.5203050137537748,coh_drop
s1__coh__date_worst_drop__std,Mariupol,0.5194021817290643,coh_drop
s1__coh__date_worst_drop__min,Mariupol,0.5076918300186883,coh_drop
s1__coh__date_worst_drop__max,Mariupol,0.5340750131141808,coh_drop
s1__coh__date_worst_drop__max_abs_delta,Mariupol,0.5213111461587497,coh_drop
s1__coh__max_drop__mean,Mariupol,0.5170032660599744,coh_drop
s1__coh__max_drop__p10,Mariupol,0.5148783760645141,coh_drop
s1__coh__max_drop__p50,Mariupol,0.5186190858361465,coh_drop
s1__coh__max_drop__p90,Mariupol,0.5080919987163061,coh_drop
s1__coh__max_drop__std,Mariupol,0.5016577031715477,coh_drop
s1__coh__max_drop__min,Mariupol,0.5228392955553973,coh_drop
s1__coh__max_drop__max,Mariupol,0.5032745790288509,coh_drop
s1__coh__max_drop__max_abs_delta,Mariupol,0.5061418158312163,coh_drop
s1__coh__scenes_observed__mean,Mariupol,0.5019698338169507,coh_drop
s1__coh__scenes_observed__p10,Mariupol,0.5015102977141209,coh_drop
s1__coh__scenes_observed__p50,Mariupol,0.5023143900644889,coh_drop
s1__coh__scenes_observed__p90,Mariupol,0.5001080175426498,coh_drop
s1__coh__scenes_observed__std,Mariupol,0.5008684898308932,coh_drop
s1__coh__scenes_observed__min,Mariupol,0.5018894073717028,coh_drop
s1__coh__scenes_observed__max,Mariupol,0.5016037569828085,coh_drop
s1__coh__scenes_observed__max_abs_delta,Mariupol,0.50085174898926,coh_drop
s1__coh__lu_transition,Mariupol,0.5861898945896479,coh_drop
was_observed_cohdrop,Mariupol,0.5363469643628473,coh_drop
s1__coh__running_min__mean,Moschun,0.5398349989938962,coh_drop
s1__coh__running_min__p10,Moschun,0.5106579918170232,coh_drop
s1__coh__running_min__p50,Moschun,0.5287343215507412,coh_drop
s1__coh__running_min__p90,Moschun,0.5249312495807902,coh_drop
s1__coh__running_min__std,Moschun,0.5337447179555973,coh_drop
s1__coh__running_min__min,Moschun,0.5157555838755115,coh_drop
s1__coh__running_min__max,Moschun,0.565852840566101,coh_drop
s1__coh__running_min__max_abs_delta,Moschun,0.5440203903682339,coh_drop
s1__coh__drop_count__mean,Moschun,0.5226909920182439,coh_drop
s1__coh__drop_count__p10,Moschun,0.5,coh_drop
s1__coh__drop_count__p50,Moschun,0.5109262861358911,coh_drop
s1__coh__drop_count__p90,Moschun,0.5064323562948555,coh_drop
s1__coh__drop_count__std,Moschun,0.5102287209068348,coh_drop
s1__coh__drop_count__min,Moschun,0.5035951438728286,coh_drop
s1__coh__drop_count__max,Moschun,0.5259574753504594,coh_drop
s1__coh__drop_count__max_abs_delta,Moschun,0.5012073244349051,coh_drop
s1__coh__date_first_drop__mean,Moschun,0.518337916694614,coh_drop
s1__coh__date_first_drop__p10,Moschun,0.5041518545844792,coh_drop
s1__coh__date_first_drop__p50,Moschun,0.5122811724461735,coh_drop
s1__coh__date_first_drop__p90,Moschun,0.5047555168019318,coh_drop
s1__coh__date_first_drop__std,Moschun,0.5095177409618351,coh_drop
s1__coh__date_first_drop__min,Moschun,0.5056543027701388,coh_drop
s1__coh__date_first_drop__max,Moschun,0.5146622845261253,coh_drop
s1__coh__date_first_drop__max_abs_delta,Moschun,0.5006908578710845,coh_drop
s1__coh__date_worst_drop__mean,Moschun,0.5202696357904621,coh_drop
s1__coh__date_worst_drop__p10,Moschun,0.5035683144409417,coh_drop
s1__coh__date_worst_drop__p50,Moschun,0.5178952310684822,coh_drop
s1__coh__date_worst_drop__p90,Moschun,0.5039841706351867,coh_drop
s1__coh__date_worst_drop__std,Moschun,0.5108457978402308,coh_drop
s1__coh__date_worst_drop__min,Moschun,0.5419478167549802,coh_drop
s1__coh__date_worst_drop__max,Moschun,0.5044738077671205,coh_drop
s1__coh__date_worst_drop__max_abs_delta,Moschun,0.5276007780535247,coh_drop
s1__coh__max_drop__mean,Moschun,0.5209202495137166,coh_drop
s1__coh__max_drop__p10,Moschun,0.5220068415051311,coh_drop
s1__coh__max_drop__p50,Moschun,0.5220001341471595,coh_drop
s1__coh__max_drop__p90,Moschun,0.508001878060232,coh_drop
s1__coh__max_drop__std,Moschun,0.5278019987926755,coh_drop
