model_id,auc_v2,modality_family,is_accumulator,auc_v3,delta
E1_base_GBM,0.7636652438756015,multimodal,False,0.6321186060195628,0.1315466378560387
B3_logratio_BAEI,0.5668219418649276,SAR,False,0.4387022688366258,0.12811967302830185
D1e_zonal_std,0.6296559679799762,other,False,0.5031760569061261,0.12647991107385015
B4_step1_card,0.6513286371789955,other,False,0.5259161180834978,0.12541251909549767
R5_ExtraTrees_all_multimodal,0.7845573609750085,multimodal,False,0.661729654146965,0.12282770682804345
R2_roll7,0.6438366752971323,other,False,0.5250533746943228,0.1187833006028095
R2_roll13,0.6438366759891515,other,False,0.5254939790676091,0.11834269692154242
R3b_card_only,0.6485729126788363,SAR,False,0.5313261671959684,0.11724674548286795
R5_RF-200_all_multimodal,0.7736753534008248,multimodal,False,0.6591263692229165,0.11454898417790838
R3_ms_plus_blocks_F8,0.7736753529596343,other,False,0.6591263692229165,0.11454898373671785
D1e_zonal_max,0.6371691429007024,other,False,0.5235484436567773,0.11362069924392504
R3_ms_only_A9,0.7612317905914092,MS,False,0.6503927104068189,0.11083908018459032
D1e_zonal_mean,0.621639305088643,other,False,0.512099886793138,0.10953941829550495
E6_A_impute+obs_card+coh,0.6504726455579488,SAR,False,0.5448797126854246,0.10559293287252425
R2_roll3,0.6294920377612986,other,False,0.5247997389547463,0.10469229880655229
R3b_coh_only,0.5892376541576873,SAR,False,0.48521864334803655,0.1040190108096507
D1i_allblocks_groupkfold,0.6178829601233143,other,False,0.5217038404406857,0.0961791196826286
E6_C_SAR_only_no_NaN,0.6331254355864393,SAR,False,0.5413691825513742,0.09175625303506507
R3_card_only_prepost_A13,0.6061836963618135,SAR,False,0.5173883662542323,0.08879533010758112
L2b_plausibility_score,0.5867445743594704,other,False,0.498990981215182,0.08775359314428838
D1i_allblocks_random,0.7196602063802726,other,False,0.6320555579411695,0.0876046484391031
B5_UISEM_all_features,0.7395001445725922,multimodal,False,0.6546288614879685,0.08487128308462366
R3b_card_coh,0.6261093667912708,other,False,0.542348438047852,0.08376092874341878
E6_A_impute+obs_coh_only,0.5618686476673367,SAR,False,0.48521864334803655,0.07665000431930014
D2_sar-only,0.6050585595868031,other,False,0.5328670137110815,0.07219154587572163
D6_sar_only,0.5882386501050916,SAR,False,0.5196565702810728,0.06858207982401876
E1_stacking_LogReg,0.7130692919391217,other,False,0.6487429895584855,0.06432630238063619
E2_LightGBM_ms,0.7085636096383809,MS,False,0.6455003994761354,0.06306321016224559
B7_UISEM_card+ms,0.7162411901555579,other,False,0.6540957106106623,0.06214547954489558
L2b_ndvi_delta,0.660706416281496,other,False,0.5995116130175737,0.06119480326392224
B6_UISEM_no_AdaBoost,0.702445937832879,multimodal,False,0.6458528331568587,0.0565931046760203
B7_UISEM_all_multimodal,0.7024458169466371,multimodal,False,0.6458528331568587,0.056592983789778395
B7_UISEM_coh+ms,0.688314854706523,other,False,0.6361960789782071,0.052118775728315914
B3_logratio_UI,0.5899706892015268,SAR,False,0.5441733829449761,0.04579730625655076
B1_PWTT_VV_exact,0.5711952140799923,other,False,0.525974041167181,0.04522117291281125
B1_PWTT_VH_exact,0.5733681641054026,other,False,0.5311892540593681,0.04217891004603447
B4_step2_card+coh,0.5721801616017013,SAR,False,0.5368024991420628,0.03537766245963847
B4_step4_all+methods,0.6083070928064443,other,False,0.5737783942783501,0.03452869852809426
B3_logratio_BSI,0.6231529239435386,MS,False,0.5887256127179351,0.034427311225603496
D2_coh-only,0.5131790847064491,other,False,0.491374857736223,0.021804226970226104
B1_PWTT_VV+VH,0.5456191379375988,other,False,0.5385061396568638,0.007112998280734972
B3_logratio_NDBI,0.6263474531887225,MS,False,0.6218959318767381,0.004451521311984452
B0_single_s1_vh_mean,0.5224759023693848,other,False,0.5229742735657845,-0.0004983711963997273
D1_pre+post+delta,0.5078956815708293,other,False,0.5144501233080188,-0.0065544417371894426
D1d_pre+post+delta,0.5078956815708293,other,False,0.5144501233080188,-0.0065544417371894426
E6_A_impute+obs_all_multimodal,0.6402760822403891,multimodal,False,0.6557673088436283,-0.015491226603239205
D1_delta_only,0.4947185131665759,other,False,0.5122693833403169,-0.017550870173741018
D1d_delta_only,0.4947185131665759,other,False,0.5122693833403169,-0.017550870173741018
B3_logratio_IBI,0.5011502176114206,SAR,False,0.5216390705834084,-0.02048885297198777
D1_pre+post,0.48021125678830273,other,False,0.5033692067493242,-0.02315794996102144
B0_single_s1_vv_mean,0.48935024794247056,other,False,0.5184193351125514,-0.029069087170080887
D3_leaky,0.5849206766040487,other,False,0.6173435878248582,-0.032422911220809536
D3_clean,0.5849206763099216,other,False,0.6188740919224598,-0.033953415612538174
D6_fusion,0.5849206763099216,other,False,0.6188741001172104,-0.03395342380728883
B4_step3_card+coh+optical,0.5511761465636754,SAR,False,0.5876693327037158,-0.03649318614004038
B5_sub_RF,0.6208657711930357,multimodal,False,0.6591263692229165,-0.0382605980298808
E1_base_RF,0.620865766781129,multimodal,False,0.6591263692229163,-0.038260602441787306
R4b_tier0_all,0.612227193736815,other,False,0.6657057838845009,-0.053478590147685856
D1f_roll7_assess,0.42310980517291286,other,False,0.4781416623943893,-0.055031857221476466
B7_UISEM_ms_only,0.5899315158909838,MS,False,0.6465070515863178,-0.05657553569533402
D1_post_only,0.44911832468584856,other,False,0.5057814019795374,-0.0566630772936888
D1d_post_only,0.44911832468584856,other,False,0.5057814019795374,-0.0566630772936888
B3_logratio_NDVI,0.660706416281496,MS,False,0.7368448975934581,-0.0761384813119621
D1_blk_pre+post_mean,0.4198806606747905,other,False,0.5003283129521207,-0.08044765227733014
R3b_ms_only,0.5707177199890521,MS,False,0.6514700735542487,-0.08075235356519661
D1_blk_post_block_all,0.44068106514317495,other,False,0.5223519855094371,-0.08167092036626211
D1_blk_pre_baseline_all,0.44068106548918445,other,False,0.5236957255521997,-0.08301466006301522
R3b_coh_ms,0.5666314079441583,other,False,0.651386077607631,-0.08475466966347267
R3b_card_ms,0.5798080777199779,other,False,0.6674139303002442,-0.08760585258026632
D2_sar_+_ms,0.5665994164738162,multimodal,False,0.6554483379976344,-0.08884892152381818
D1_blk_pre+post_all,0.43524801839424476,other,False,0.5256366517893432,-0.0903886333950984
D2_sar_+_ms_+_coh,0.5557846090026363,multimodal,False,0.6468040785371274,-0.09101946953449114
B3_logratio_SAVI,0.648713904783242,MS,False,0.7406502646425871,-0.09193635985934512
D4_f8_strategy_B_impute,0.5534696707075419,other,False,0.6464426888665739,-0.09297301815903192
D2_all_features,0.5534696639426184,multimodal,False,0.6464426980404432,-0.09297303409782476
D1d_pre_only,0.40533522260274635,other,False,0.5053539140732551,-0.10001869147050879
D1_pre_only,0.40533522260274635,other,False,0.5053539140732551,-0.10001869147050879
D1_blk_post_block_mean,0.39778794071218254,other,False,0.4985494717637809,-0.10076153105159835
D1_blk_pre_baseline_mean,0.39778794071218254,other,False,0.4985494717637809,-0.10076153105159835
