experiment,n_cities_scored,pooled_auc,pooled_auc_no_mariupol,mean_folds_auc,std_folds_auc,gap_pooled_minus_folds
D2_sar-only,19,0.5328670137110815,0.5623158060749329,0.625277053897104,0.1555191357954047,-0.0924100401860225
C_A6_scene_nbr,19,0.6308593502735556,0.6295269930950119,0.6240113566364253,0.0729076215303601,0.0068479936371302
C10_leaky_A6_scene_nbr,19,0.6308593502735556,0.6295269930950119,0.6240113566364253,0.0729076215303601,0.0068479936371302
C10_leaky_F7_fusion_composite_cohdrop,11,0.6451220867407026,0.6213276287084606,0.6227898197882076,0.0923101609660671,0.022332266952495
NB08b_BDA_CARD_LightGBM,21,0.6749668580436796,0.688363958904034,0.6209866903403649,0.1321234388655222,0.0539801677033147
E6_B_nativeNaN_card+coh,15,0.7133251483983398,0.7133251483983398,0.6202382537776044,0.1421871456348876,0.0930868946207353
CLF_A17_LightGBM,21,0.7943860402372268,0.8151104041235335,0.6198264797658231,0.1428490033390049,0.1745595604714037
R1_random_cv,21,0.6215263168097245,0.5921958300358678,0.6197601888774684,0.114030634240059,0.001766127932256
C_F7_fusion_composite_cohdrop,11,0.6447751144378915,0.6214189826761266,0.6187214337897479,0.0951034019911108,0.0260536806481436
C_F4_fusion_ms_cohdrop,11,0.630815266382731,0.6275232433777161,0.6174893858815188,0.1012945159412757,0.0133258805012121
C10_leaky_F4_fusion_ms_cohdrop,11,0.630815266382731,0.6275232433777161,0.6174893858815188,0.1012945159412757,0.0133258805012121
C_A9_composite_prepost_bands,19,0.6372726279447433,0.6243332192239484,0.6156019782409491,0.0984893851384686,0.0216706497037941
E2_LightGBM_card+coh,15,0.7196988932290961,0.7196988932290961,0.6154877500709581,0.1389393177598717,0.1042111431581379
E6_B_nativeNaN_card_only,15,0.7107733515605791,0.7107733515605791,0.6140235581074897,0.1479400851352544,0.0967497934530894
E7d_MLP_256_128_64,19,0.6316471803745984,0.6006011140345402,0.6136940599528903,0.0725545703838832,0.0179531204217081
B7_UISEM_card_only,19,0.5064697130211882,0.5372659495423315,0.6118591874496504,0.1372334114915669,-0.1053894744284622
E1_soft_voting,15,0.6852765260209384,0.6852765260209384,0.6118145107474066,0.149402391735617,0.0734620152735318
R4b_tier1_card,11,0.6274857370314826,0.6274857370314826,0.6114095255999665,0.1056608011173254,0.016076211431516
R4_tier1_dietrich28,11,0.6274857370314826,0.6274857370314826,0.6114095255999665,0.1056608011173254,0.016076211431516
E2_LightGBM_card,15,0.7207604318259747,0.7207604318259747,0.6092715035668003,0.1488041849070909,0.1114889282591744
D6_fusion,11,0.6188741001172104,0.6168219393073836,0.6085960817183601,0.0628312232261562,0.0102780183988503
D3_clean,11,0.6188740919224598,0.6168219393073836,0.6085960781625315,0.0628312226173651,0.0102780137599283
C2d_V4_RF50_groupkfold,21,0.5460529816809632,0.5599070404210996,0.6077817997591712,0.1313069975945955,-0.061728818078208
CLF_A17_XGBoost,21,0.7443661757821636,0.7889686627816216,0.6065266423213007,0.1335620110840769,0.1378395334608628
E7_KNN_15,15,0.5223960290992753,0.5223960290992753,0.6051086373585232,0.1373698959298316,-0.0827126082592478
NB08b_BDA_RGB+CARD_UISEM_voting,21,0.5442330563770383,0.577532046664734,0.6041700000891154,0.1526776084856332,-0.059936943712077
X_F3_fusion_card_cohdrop_ExtraTrees_Optuna,20,0.6504577943958461,0.6408364938516282,0.6040430422764173,0.163188264341111,0.0464147521194288
C10_leaky_A15_block_stats,21,0.568848575629293,0.5522862283082471,0.6039432089800575,0.097532712765997,-0.0350946333507644
C_A15_block_stats,21,0.568848575629293,0.5522862283082471,0.6039432089800575,0.097532712765997,-0.0350946333507644
R5_RF-200_dietrich28,21,0.5454552817638035,0.5546563421863736,0.6029039346763609,0.1209096753197783,-0.0574486529125574
R1_groupkfold,21,0.5454552817638035,0.5546563421863736,0.6029039346763609,0.1209096753197783,-0.0574486529125574
R0_dietrich28_faithful_groupkfold,21,0.5454552817638035,0.5546563421863736,0.6029039346763609,0.1209096753197783,-0.0574486529125574
E7_KNN_5,15,0.5895365735294607,0.5895365735294607,0.6020146888362568,0.1186052748836421,-0.0124781153067961
C10_leaky_A9_composite_prepost_bands,19,0.6404817184968872,0.620245288774033,0.6013705639885973,0.0992896124900601,0.0391111545082898
B7_UISEM_card+coh+delta,19,0.5140889003888436,0.5282438545084227,0.6013083577653701,0.1400931981869371,-0.0872194573765264
B7_UISEM_card+coh,19,0.5140889003888436,0.5282438545084227,0.6013083577653701,0.1400931981869371,-0.0872194573765264
E1_base_XGB,15,0.6572826497317478,0.6572826497317478,0.6007577531964172,0.1571531745225207,0.0565248965353305
D3_leaky,11,0.6173435878248582,0.6196482761424585,0.5959478419060648,0.0726162607959264,0.0213957459187934
R4_tier1_ms,10,0.5709428585379377,0.5709428585379377,0.5953688766927111,0.056268190508632,-0.0244260181547734
B6_AdaBoost_alone,19,0.6574508388402541,0.6174392572620677,0.5937793200806233,0.1009061752419773,0.0636715187596308
R3_card_block_stats_A15,21,0.535774293952421,0.5559169274139218,0.5929928070930214,0.1513078806633644,-0.0572185131406003
C2b_V3_RF50_groupkfold,21,0.5277481615493308,0.5421803148438532,0.5927523983607546,0.1325729228565269,-0.0650042368114237
B0_single_s1_vv_max,21,0.5659336497010401,0.6027984790688341,0.592608808927271,0.0535070084469302,-0.0266751592262308
R5_ExtraTrees_dietrich28,21,0.5413694482739942,0.5451302901503245,0.5919661846092613,0.1271549339934781,-0.050596736335267
C_A2_scene_card,21,0.5718576527888934,0.571034845597786,0.591835123802167,0.0953950135649829,-0.0199774710132735
C10_leaky_A2_scene_card,21,0.5718576527888934,0.571034845597786,0.591835123802167,0.0953950135649829,-0.0199774710132735
