cell,analysis,parquet,tier_selection,cities,n_buildings,n_features_tested,summary_metrics,top_features,note,tags,metric,value,city,feature
cell16,,block_accum_coh,,,,,,,,,best_single_feature_auc,0.5628873395307659,ALL,s1__coh_vv__blk02__max_abs_delta__p10
cell16,,block_accum_ms,,,,,,,,,best_single_feature_auc,0.5256127032310184,ALL,s2__nbr__blk_pre02__running_min__std
cell16,,block_stats,,,,,,,,,best_single_feature_auc,0.5971126057206001,ALL,s1__vh__blk02__mean__std
cell16,,card_drop,,,,,,,,,best_single_feature_auc,0.5172809252507632,ALL,s1__vv__drop_count__p50
cell16,,coh_drop,,,,,,,,,best_single_feature_auc,0.5284122494857801,ALL,s1__coh__scenes_observed__p50
cell16,,composite_prepost_bands,,,,,,,,,best_single_feature_auc,0.6729386419059044,ALL,s2__composite__ndvi__post_winter_baseline__p10
cell16,,composite_prepost_landuse,,,,,,,,,best_single_feature_auc,0.5960479040185768,ALL,landuse__post_winter_baseline
cell16,,composite_vs_scenes_landuse,,,,,,,,,best_single_feature_auc,0.6066148997252968,ALL,pre_landuse
cell16,,fusion_card_cohdrop,,,,,,,,,best_single_feature_auc,0.5549460393262671,ALL,s1__vh__max
cell16,,fusion_composite_blockstats,,,,,,,,,best_single_feature_auc,0.6729386419059044,ALL,s2__composite__ndvi__post_winter_baseline__p10
cell16,,fusion_composite_cohdrop,,,,,,,,,best_single_feature_auc,0.6749350865930461,ALL,s2__composite__ndvi__post_winter_baseline__min
cell16,,fusion_indices_card,,,,,,,,,best_single_feature_auc,0.6258743873174883,ALL,s2__ndvi__p10
cell16,,fusion_indices_card_cohdrop,,,,,,,,,best_single_feature_auc,0.6286352299039247,ALL,s2__ndvi__p10
cell16,,fusion_ms_card,,,,,,,,,best_single_feature_auc,0.6062935651134044,ALL,s2__b02__p90
cell16,,fusion_ms_card_cohdrop,,,,,,,,,best_single_feature_auc,0.6130746401942185,ALL,s2__b02__p90
cell16,,fusion_ms_cohdrop,,,,,,,,,best_single_feature_auc,0.6130746401942185,ALL,s2__b02__p90
cell16,,lu_change,,,,,,,,,best_single_feature_auc,0.6087596632951473,ALL,s2__lu__loss_fraction__min
cell16,,ms_change,,,,,,,,,best_single_feature_auc,0.502821199135583,ALL,s2__swir_baseline_mean__std
cell16,,ms_maha,,,,,,,,,best_single_feature_auc,0.52335691636306,ALL,s2__mahalanobis_running_max__min
cell16,,prepost_single_card,,,,,,,,,best_single_feature_auc,0.5427492789955919,ALL,pre_vh__max_abs_delta
cell16,,rolling_accum_card,,,,,,,,,best_single_feature_auc,0.5959310449231429,ALL,s1__vh__roll13__running_max__std
cell16,,rolling_accum_coh,,,,,,,,,best_single_feature_auc,0.5433076109197232,ALL,s1__coh_vv__roll13__running_max__max
cell16,,rolling_accum_ms,,,,,,,,,best_single_feature_auc,0.6360067325899432,ALL,s2__b12__roll13__max_abs_delta__p10
cell16,,rolling_card,,,,,,,,,best_single_feature_auc,0.5890792285113907,ALL,s1__vh__roll13__std
cell16,,rolling_coh,,,,,,,,,best_single_feature_auc,0.5471577112780905,ALL,s1__coh_vv__roll13__p50
cell16,,rolling_stats_roll13,,,,,,,,,best_single_feature_auc,0.5593121225091159,ALL,s1__vh__baseline__max__max_abs_delta
cell16,,rolling_stats_roll3,,,,,,,,,best_single_feature_auc,0.5593121225091159,ALL,s1__vh__baseline__max__max_abs_delta
cell16,,rolling_stats_roll7,,,,,,,,,best_single_feature_auc,0.5593121225091159,ALL,s1__vh__baseline__max__max_abs_delta
cell16,,scene_card,,,,,,,,,best_single_feature_auc,0.5491457672595623,ALL,s1__vh__max
cell16,,scene_coh,,,,,,,,,best_single_feature_auc,0.5326881531253311,ALL,s1__coh_vh__max
cell16,,scene_indices,,,,,,,,,best_single_feature_auc,0.6258743873174883,ALL,s2__ndvi__p10
cell16,,scene_landuse,,,,,,,,,best_single_feature_auc,0.5709306297047989,ALL,s2__landuse
cell16,,scene_ms,,,,,,,,,best_single_feature_auc,0.6062935651134044,ALL,s2__b02__p90
cell16,,scene_nbr,,,,,,,,,best_single_feature_auc,0.5623968676376618,ALL,s2__nbr__min
cell17_rolling_block,rolling_block_auc_comparison,rolling_stats+block_stats,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",62043,2384,"{'mean_auc_raw': None, 'mean_auc_rolling': 0.5, 'mean_auc_block': 0.5246186380087919}","[{'feature': 's1__vh__blk02__median__max_abs_delta', 'mean_auc': 0.6281099685148945}, {'feature': 's1__vh__blk02__median__std', 'mean_auc': 0.6240170124247886}, {'feature': 's1__vh__blk03__mean__std',",Rolling + block feature AUC vs raw P1 (Cell 17),"['rolling', 'block', 'temporal', 'auc']",,,,
cell17_coh_drop,coh_drop_auc,bda_coh_drop,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Dmytrivka', 'Hostomel', 'Irpin', 'Lysychansk', 'Mariupol', 'Moschun', 'Okhtyrka', 'Sievierodonetsk', 'Volnovakha']",51293,50,"{'mean_auc': 0.5159139134744904, 'max_auc': 0.604296268830937, 'n_cities': 11}","[{'feature': 'was_observed_cohdrop', 'mean_auc': 0.5396578499417689}, {'feature': 's1__coh__date_worst_drop__max', 'mean_auc': 0.532208616082789}, {'feature': 's1__coh__lu_transition', 'mean_auc': 0.5","COH drop accumulator features (running_min, drop_count, max_drop)","['coh_drop', 'accumulator', 'change_detection', 'auc']",,,,
cell18_single_scene,single_scene_accumulator_auc,TIF_direct_sampling,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",62043,19,"{'mean_auc_rgb_prepost': 0.5945020006651907, 'mean_auc_card_prepost': 0.5443681457384527, 'mean_auc_coh_accumulator': 0.5452991285548244, 'n_significant_p05': 153}","[{'feature': 's2__rgb_prepost__post__b02', 'mean_auc': 0.6227848929642467}, {'feature': 's2__rgb_prepost__post__b03', 'mean_auc': 0.6143264145324245}, {'feature': 's2__rgb_prepost__post__b04', 'mean_a",Single-scene RGB/CARD pre/post + COH accumulator (Cell 18),"['single_scene', 'rgb_prepost', 'card_prepost', 'coh_accumulator', 'auc']",,,,
