model_id,variant_id,n,n_damaged,damage_rate,auc,TP,FN,FP,TN,recall,precision,n_cities,is_leaky,is_degenerate
E1_stacking_LogReg,stacking_meta;meta=LogReg;base=RF+GBM+XGB+LGBM,62043,8080,0.13,0.6487,141,7939,280,53683,0.017,0.335,19,False,False
B3_logratio_SAVI,unsupervised_logratio;sensor=optical;label=SAVI;direction=-logratio,310131,6319,0.02,0.6487,4772,1547,150294,153518,0.755,0.031,19,False,False
NB08b_BDA_COH_DROP+RGB_GBM,dataset=BDA;feature_set=COH_DROP+RGB;classifier=GBM,205942,6144,0.03,0.6485,74,6070,1822,197976,0.012,0.039,12,False,False
E1_soft_voting,stacking_soft_voting;base=RF+GBM+XGB+LGBM,62043,8080,0.13,0.648,389,7691,798,53165,0.048,0.328,19,False,False
NB08b_BDA_COH_DROP+RGB+CARD_ExtraTrees,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=ExtraTrees,205942,6144,0.03,0.6476,1551,4593,10745,189053,0.252,0.126,12,False,False
D2_sar_+_ms_+_coh,ablation=SAR + MS + COH (full),62043,8080,0.13,0.6468,32,8048,55,53908,0.004,0.368,19,False,False
CLF_A17_RF_200,classifier=RF_200;parquet=A17,598595,7332,0.012,0.6466,638,6694,33787,557476,0.087,0.019,21,False,False
ABL_ROLLING_SAR_ALL,scenario=ROLLING_SAR;sensor=ALL;parquet=A17,598595,7332,0.012,0.6466,638,6694,33787,557476,0.087,0.019,21,False,False
B7_UISEM_ms_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=ms_only,62043,8080,0.13,0.6465,340,7740,567,53396,0.042,0.375,19,False,False
D4_f8_strategy_B_impute,nan_strategy=B_impute_all_rows,62043,8080,0.13,0.6464,35,8045,61,53902,0.004,0.365,19,False,False
D2_all_features,ablation=All features (clean),62043,8080,0.13,0.6464,35,8045,61,53902,0.004,0.365,19,False,False
D6_ms_only,sensor=MS_only,62043,8080,0.13,0.6464,104,7976,128,53835,0.013,0.448,19,False,False
D4_a9_ms_only,nan_strategy=no_nan_baseline,62043,8080,0.13,0.6464,104,7976,128,53835,0.013,0.448,19,False,False
D2_ms-only,ablation=MS-only (optical composites),62043,8080,0.13,0.6459,110,7970,142,53821,0.014,0.437,19,False,False
B6_UISEM_no_AdaBoost,uisem_ensemble;sub=RF+GB+XGB;features=all_multimodal;ablation=no_adaboost,62043,8080,0.13,0.6459,196,7884,367,53596,0.024,0.348,19,False,False
B7_UISEM_all_multimodal,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=all_multimodal,62043,8080,0.13,0.6459,196,7884,367,53596,0.024,0.348,19,False,False
NB08b_BDA_COH_DROP_LogReg,dataset=BDA;feature_set=COH_DROP;classifier=LogReg,21434,1431,0.067,0.6458,867,564,7009,12994,0.606,0.11,12,False,False
E2_LightGBM_ms,lightgbm_sensor_ablation;sensor=ms,62043,8080,0.13,0.6455,3022,5058,10580,43383,0.374,0.222,19,False,False
NB08b_BDA_COH_DROP+RGB_ExtraTrees,dataset=BDA;feature_set=COH_DROP+RGB;classifier=ExtraTrees,205942,6144,0.03,0.6443,2163,3981,21025,178773,0.352,0.093,12,False,False
NB08b_BDA_CARD_ExtraTrees,dataset=BDA;feature_set=CARD;classifier=ExtraTrees,368288,6431,0.017,0.6441,111,6320,256,361601,0.017,0.302,21,False,False
NB08b_xBD_RGB_AdaBoost,dataset=xBD;feature_set=RGB;classifier=AdaBoost,70931,22559,0.318,0.6435,952,21607,1107,47265,0.042,0.462,19,False,False
D1c_pre_composite,pre_only,62043,8080,0.13,0.6431,113,7967,133,53830,0.014,0.459,19,False,False
NB08b_BDA_RGB+CARD_GBM,dataset=BDA;feature_set=RGB+CARD;classifier=GBM,598595,7332,0.012,0.6425,42,7290,11832,579431,0.006,0.004,21,False,False
NB08b_BDA_COH_DROP+RGB_LightGBM,dataset=BDA;feature_set=COH_DROP+RGB;classifier=LightGBM,205942,6144,0.03,0.6408,2926,3218,41966,157832,0.476,0.065,12,False,False
B0_single_s1_vh_median,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.012,0.6403,5357,1975,276755,314508,0.731,0.019,21,False,False
E1_base_LGBM,stacking_base;classifier=LGBM;features=all_multimodal,62043,8080,0.13,0.6398,2391,5689,7623,46340,0.296,0.239,19,False,False
E2_LightGBM_all,lightgbm;features=all_multimodal,62043,8080,0.13,0.6398,2391,5689,7623,46340,0.296,0.239,19,False,False
B5_sub_GBM,uisem_sub_classifier;classifier=GBM;features=all_multimodal,62043,8080,0.13,0.6394,154,7926,251,53712,0.019,0.38,19,False,False
B7_UISEM_coh+ms,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=coh+ms,62043,8080,0.13,0.6362,227,7853,481,53482,0.028,0.321,19,False,False
R3_ms_plus_cohdrop_F7,nb09a;cell=R3,51293,6867,0.134,0.6348,167,6700,221,44205,0.024,0.43,11,False,False
E7b_RidgeClassifier,probabilistic;classifier=RidgeClassifier,62043,8080,0.13,0.634,4444,3636,19144,34819,0.55,0.188,19,False,False
R5_XGBoost_all_multimodal,nb09a;cell=R5,62043,8080,0.13,0.6333,153,7927,364,53599,0.019,0.296,19,False,False
B0_single_s1_vv_median,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.012,0.6322,5255,2077,275645,315618,0.717,0.019,21,False,False
E1_base_GBM,stacking_base;classifier=GBM;features=all_multimodal,62043,8080,0.13,0.6321,225,7855,588,53375,0.028,0.277,19,False,False
D1i_allblocks_random,random_cv,63243,8247,0.13,0.6321,200,8047,355,54641,0.024,0.36,21,True,False
R5_GBM_all_multimodal,nb09a;cell=R5,62043,8080,0.13,0.6321,225,7855,588,53375,0.028,0.277,19,False,False
NB08b_xBD_RGB_LogReg,dataset=xBD;feature_set=RGB;classifier=LogReg,70931,22559,0.318,0.6316,12925,9634,18393,29979,0.573,0.413,19,False,False
E7d_MLP_256_128_64,mlp;classifier=MLP_256_128_64,62043,8080,0.13,0.6316,128,7952,338,53625,0.016,0.275,19,False,False
R5_LightGBM_all_multimodal,nb09a;cell=R5,62043,8080,0.13,0.6313,2177,5903,7490,46473,0.269,0.225,19,False,False
E7b_LDA,discriminant;classifier=LDA,62043,8080,0.13,0.6305,288,7792,1110,52853,0.036,0.206,19,False,False
E6_B_nativeNaN_all_multimodal,nan_ablation;strategy=B_native_nan;modality=all_multimodal,62043,8080,0.13,0.63,2138,5942,7317,46646,0.265,0.226,19,False,False
E5_LightGBM_native_NaN,lightgbm_native_nan;imputation=none,62043,8080,0.13,0.63,2138,5942,7317,46646,0.265,0.226,19,False,False
NB08b_BDA_COH_DROP+CARD_LightGBM,dataset=BDA;feature_set=COH_DROP+CARD;classifier=LightGBM,130789,5427,0.041,0.6291,2059,3368,20987,104375,0.379,0.089,12,False,False
NB08b_BDA_COH_DROP+RGB_RF-200,dataset=BDA;feature_set=COH_DROP+RGB;classifier=RF-200,205942,6144,0.03,0.6277,2149,3995,24011,175787,0.35,0.082,12,False,False
CLF_A9_XGBoost,classifier=XGBoost;parquet=A9,480313,7186,0.015,0.6274,220,6966,2571,470556,0.031,0.079,19,False,False
R4b_tier1_all,nb09a;cell=R4b,18513,2214,0.12,0.6271,4,2210,4,16295,0.002,0.5,10,False,False
E7_LogReg,non_tree;classifier=LogReg;features=all_multimodal,62043,8080,0.13,0.6271,4390,3690,19117,34846,0.543,0.187,19,False,False
B3_logratio_NDBI,unsupervised_logratio;sensor=optical;label=NDBI;direction=-logratio,310131,6319,0.02,0.6263,4359,1960,150707,153105,0.69,0.028,19,False,False
NB08b_BDA_COH_DROP+RGB_XGBoost,dataset=BDA;feature_set=COH_DROP+RGB;classifier=XGBoost,205942,6144,0.03,0.626,14,6130,43,199755,0.002,0.246,12,False,False
NB08b_BRIGHT_all_LogReg,dataset=BRIGHT;feature_set=all;classifier=LogReg,92423,14126,0.153,0.6251,8616,5510,28519,49778,0.61,0.232,14,False,False
NB08b_BDA_COH_DROP+RGB_UISEM_voting,dataset=BDA;feature_set=COH_DROP+RGB;classifier=UISEM_voting,205942,6144,0.03,0.6248,45,6099,102,199696,0.007,0.306,12,False,False
B0_single_s1_vh_min,unsupervised_change;source=bda_block_stats_v2;direction=|change|,598595,7332,0.012,0.6239,4610,2722,294688,296575,0.629,0.015,21,False,False
D1c_post_composite,post_only,62043,8080,0.13,0.6232,193,7887,196,53767,0.024,0.496,19,False,False
B3_logratio_BSI,unsupervised_logratio;sensor=optical;label=BSI;direction=-logratio,310131,6319,0.02,0.6232,4242,2077,150824,152988,0.671,0.027,19,False,False
NB08b_BDA_COH_DROP+CARD_UISEM_voting,dataset=BDA;feature_set=COH_DROP+CARD;classifier=UISEM_voting,130789,5427,0.041,0.6194,17,5410,31,125331,0.003,0.354,12,False,False
D3_clean,leakage_demo_clean,51293,6867,0.134,0.6189,69,6798,88,44338,0.01,0.439,11,True,False
D6_fusion,sensor=fusion_MS_SAR_COH,51293,6867,0.134,0.6189,69,6798,88,44338,0.01,0.439,11,False,False
D3_leaky,leakage_demo_with_leaks,51293,6867,0.134,0.6173,68,6799,62,44364,0.01,0.523,11,True,False
CLF_A9_GBM,classifier=GBM;parquet=A9,480313,7186,0.015,0.617,10,7176,221,472906,0.001,0.043,19,False,False
NB08b_BDA_COH_DROP+CARD_RF-200,dataset=BDA;feature_set=COH_DROP+CARD;classifier=RF-200,130789,5427,0.041,0.6156,101,5326,188,125174,0.019,0.349,12,False,False
NB08b_BDA_COH_DROP_ExtraTrees,dataset=BDA;feature_set=COH_DROP;classifier=ExtraTrees,21434,1431,0.067,0.6117,22,1409,780,19223,0.015,0.027,12,False,False
NB08b_BDA_CARD_XGBoost,dataset=BDA;feature_set=CARD;classifier=XGBoost,368288,6431,0.017,0.6116,6,6425,12,361845,0.001,0.333,21,False,False
NB08b_BDA_COH_DROP+CARD_XGBoost,dataset=BDA;feature_set=COH_DROP+CARD;classifier=XGBoost,130789,5427,0.041,0.6108,20,5407,58,125304,0.004,0.256,12,False,False
NB08b_BDA_COH_DROP+CARD_ExtraTrees,dataset=BDA;feature_set=COH_DROP+CARD;classifier=ExtraTrees,130789,5427,0.041,0.6102,852,4575,5214,120148,0.157,0.14,12,False,False
B4_step4_all+methods,unsupervised_combined;step=step4_all+methods;n_scores=34,98613,4253,0.043,0.6083,2808,1445,46499,47861,0.66,0.057,11,False,False
E7b_NearestCentroid,probabilistic;classifier=NearestCentroid,62043,8080,0.13,0.6064,4039,4041,19165,34798,0.5,0.174,19,False,False
NB08b_BDA_COH_DROP+CARD_GBM,dataset=BDA;feature_set=COH_DROP+CARD;classifier=GBM,130789,5427,0.041,0.605,67,5360,1345,124017,0.012,0.047,12,False,False
