city,modality,product_type,check_name,status,detail,filepath,val_min,val_max,val_mean,val_std,pct_nodata,pct_nodata_leak,crs_epsg,width_px,height_px
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vv__o087__20220102.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vv__o087__20220114.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vv__o087__20220126.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vv__o087__20220207.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vv__o087__20220303.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vv__o087__20220315.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vv__o087__20220327.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vv__o087__20220420.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Trostianets,CARD,flat,NODATA_LEAK,FAIL,42.0% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Trostianets/s1__vh__o116__20211223.tif,-100.00000762939453,5.672467231750488,-54.57450818183117,40.636108277550946,5.388106499441994,41.97470372535473,4326.0,1214.0,775.0
Trostianets,CARD,flat,NODATA_LEAK,FAIL,42.0% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Trostianets/s1__vh__o116__20220104.tif,-100.00000762939453,4.391368389129639,-53.2067115236004,41.86686378023066,5.388106499441994,41.98862730509646,4326.0,1214.0,775.0
Trostianets,CARD,flat,NODATA_LEAK,FAIL,42.0% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Trostianets/s1__vh__o116__20220116.tif,-100.00000762939453,3.6707887649536133,-53.17377047663431,41.92142788989967,5.388106499441994,41.990646755593346,4326.0,1214.0,775.0
