auc_raw,auc_best,direction,mann_whitney_u,mann_whitney_p,mean_damaged,mean_control,n_valid,city,feature,source,product
0.49260874833393914,0.5073912516660608,lower=damaged,8131.0,0.875329399929519,0.47512003779411316,0.48109540343284607,435,Irpin,s1__coh__running_min,coh_accumulator,R3
0.502353171879596,0.502353171879596,higher=damaged,10247.0,0.9579034063166966,0.1979442983865738,0.189288929104805,481,Irpin,s1__coh__max_drop,coh_accumulator,R3
0.7002164502164502,0.7002164502164502,higher=damaged,647.0,0.09750722630550751,0.6049012541770935,0.48054173588752747,160,Lysychansk,s1__coh__running_min,coh_accumulator,R3
0.41862527716186254,0.5813747228381374,lower=damaged,8496.0,0.016170726531520446,0.008600407280027866,0.05206713452935219,536,Lysychansk,s1__coh__max_drop,coh_accumulator,R3
0.5,0.5,higher=damaged,462.0,1.0,2.0,2.0,160,Lysychansk,s1__coh__scenes_observed,coh_accumulator,R3
0.5373792948185092,0.5373792948185092,higher=damaged,1551521.5,0.0011137574324274625,0.1552627831697464,0.13425162434577942,4730,Mariupol,s1__coh__max_drop,coh_accumulator,R3
0.473119370198647,0.526880629801353,lower=damaged,1362052.0,0.021521530531774503,0.4935309886932373,0.5144692659378052,4723,Mariupol,s1__coh__running_min,coh_accumulator,R3
0.5107021131561009,0.5107021131561009,higher=damaged,74920.0,0.5404061240535993,1.2777777910232544,1.2515337467193604,995,Mariupol,s1__coh__drop_count,coh_accumulator,R3
0.5014118357303337,0.5014118357303337,higher=damaged,1443502.5,0.3880678272115379,2.9958274364471436,2.992257833480835,4723,Mariupol,s1__coh__scenes_observed,coh_accumulator,R3
0.35842293906810035,0.6415770609318996,lower=damaged,100.0,0.20644355826552474,0.23168979585170746,0.32717129588127136,40,Moschun,s1__coh__max_drop,coh_accumulator,R3
0.42999999999999994,0.5700000000000001,lower=damaged,43.0,0.6367974125983966,1.7999999523162842,2.049999952316284,25,Moschun,s1__coh__drop_count,coh_accumulator,R3
0.5627240143369175,0.5627240143369175,higher=damaged,157.0,0.5818998180846301,0.42105552554130554,0.39108139276504517,40,Moschun,s1__coh__running_min,coh_accumulator,R3
0.5,0.5,higher=damaged,139.5,1.0,5.0,5.0,40,Moschun,s1__coh__scenes_observed,coh_accumulator,R3
0.5227089880578253,0.5227089880578253,higher=damaged,83163.0,0.33201774610208745,0.5150008201599121,0.5038544535636902,1045,Sievierodonetsk,s1__coh__running_min,coh_accumulator,R3
0.5173741156887224,0.5173741156887224,higher=damaged,7459.5,0.5700976353627407,1.2407407760620117,1.2059924602508545,321,Sievierodonetsk,s1__coh__drop_count,coh_accumulator,R3
0.4889252042740415,0.5110747957259585,lower=damaged,77788.0,0.6341946800543126,0.17849087715148926,0.1808067262172699,1045,Sievierodonetsk,s1__coh__max_drop,coh_accumulator,R3
0.502906976744186,0.502906976744186,higher=damaged,80012.5,0.29928329055770075,2.0,1.9941860437393188,1045,Sievierodonetsk,s1__coh__scenes_observed,coh_accumulator,R3
0.444635685599541,0.555364314400459,lower=damaged,1550.0,0.3416246070898231,1.3809523582458496,1.5,187,Volnovakha,s1__coh__drop_count,coh_accumulator,R3
0.4740801656920078,0.5259198343079923,lower=damaged,15565.0,0.49712943748750416,0.19750908017158508,0.21230998635292053,577,Volnovakha,s1__coh__max_drop,coh_accumulator,R3
0.49159356725146197,0.508406432748538,lower=damaged,16140.0,0.8265889301391035,0.4046218693256378,0.4081727862358093,577,Volnovakha,s1__coh__running_min,coh_accumulator,R3
0.5009746588693957,0.5009746588693957,higher=damaged,16448.0,0.7280731999907706,3.0,2.9980506896972656,577,Volnovakha,s1__coh__scenes_observed,coh_accumulator,R3
0.7834115436452892,0.7834115436452892,higher=damaged,79633.0,1.035989679206456e-19,0.16976989805698395,0.1476268172264099,1186,Avdiivka,s2__rgb_prepost__post__b02,rgb_prepost,P7
0.7544196204586371,0.7544196204586371,higher=damaged,76686.0,3.4714269934603733e-16,0.1818731129169464,0.15999844670295715,1186,Avdiivka,s2__rgb_prepost__post__b03,rgb_prepost,P7
0.7184232014087694,0.7184232014087694,higher=damaged,73027.0,2.527370758583157e-12,0.19868817925453186,0.1772492229938507,1186,Avdiivka,s2__rgb_prepost__post__b04,rgb_prepost,P7
0.5995238516857027,0.5995238516857027,higher=damaged,60941.0,0.0014215684633392559,-0.01697634346783161,-0.05564190074801445,1186,Avdiivka,s2__rgb_prepost__delta__b03,rgb_prepost,P7
0.5927751379747955,0.5927751379747955,higher=damaged,60255.0,0.002940451995256586,-0.03527957201004028,-0.0699559897184372,1186,Avdiivka,s2__rgb_prepost__delta__b02,rgb_prepost,P7
0.5893860244567088,0.5893860244567088,higher=damaged,59910.5,0.004166781302131111,-0.003818280529230833,-0.04511290043592453,1186,Avdiivka,s2__rgb_prepost__delta__b04,rgb_prepost,P7
0.5401577979124241,0.5401577979124241,higher=damaged,54906.5,0.19803663755281897,0.2050495147705078,0.2175827920436859,1186,Avdiivka,s2__rgb_prepost__pre__b02,rgb_prepost,P7
0.4601520920028726,0.5398479079971275,lower=damaged,46774.0,0.2015206853668451,0.1879548281431198,0.18940101563930511,1186,Avdiivka,s2__rgb_prepost__pre__b04,rgb_prepost,P7
0.4819083316117227,0.5180916683882772,lower=damaged,48985.5,0.5620493893408537,0.17801077663898468,0.1769820749759674,1186,Avdiivka,s2__rgb_prepost__pre__b03,rgb_prepost,P7
0.5164389221733613,0.5164389221733613,higher=damaged,52495.5,0.5983197679188667,0.19884946942329407,0.2156403362751007,1186,Avdiivka,s2__rgb_prepost__pre__b03,rgb_prepost,P7
0.5074570335172996,0.5074570335172996,higher=damaged,51582.5,0.8111911180072127,0.17315267026424408,0.16956834495067596,1186,Avdiivka,s2__rgb_prepost__pre__b02,rgb_prepost,P7
0.49784552725555586,0.5021544727444441,lower=damaged,50605.5,0.9450633390343116,0.2025064378976822,0.22236213088035583,1186,Avdiivka,s2__rgb_prepost__pre__b04,rgb_prepost,P7
0.7295991460434281,0.7295991460434281,higher=damaged,207784.0,2.273817903254252e-25,0.1804773211479187,0.1525651216506958,1662,Bucha,s2__rgb_prepost__post__b02,rgb_prepost,P7
0.7079254332986882,0.7079254332986882,higher=damaged,201611.5,4.2722726932824104e-21,0.17487989366054535,0.14485687017440796,1662,Bucha,s2__rgb_prepost__post__b03,rgb_prepost,P7
0.6988714570634006,0.6988714570634006,higher=damaged,199033.0,1.9640849062995342e-19,0.17967629432678223,0.1497660130262375,1662,Bucha,s2__rgb_prepost__post__b04,rgb_prepost,P7
0.600806904688334,0.600806904688334,higher=damaged,171105.0,4.883321835053343e-06,-0.014652576297521591,-0.0383952297270298,1662,Bucha,s2__rgb_prepost__delta__b02,rgb_prepost,P7
0.5945777971291328,0.5945777971291328,higher=damaged,169331.0,1.8081079657083886e-05,-0.03237680718302727,-0.05494461953639984,1662,Bucha,s2__rgb_prepost__delta__b04,rgb_prepost,P7
0.5829675693137448,0.5829675693137448,higher=damaged,166024.5,0.00016920933988140733,-0.027812371030449867,-0.04978671669960022,1662,Bucha,s2__rgb_prepost__delta__b03,rgb_prepost,P7
0.5660095789207562,0.5660095789207562,higher=damaged,161195.0,0.002768884335123243,0.2120530754327774,0.20471063256263733,1662,Bucha,s2__rgb_prepost__pre__b04,rgb_prepost,P7
0.5650299165706901,0.5650299165706901,higher=damaged,160916.0,0.0031995618766685933,0.20269227027893066,0.19464360177516937,1662,Bucha,s2__rgb_prepost__pre__b03,rgb_prepost,P7
