city,variable,morans_I,expected_I,p_value,z_score,significant,lisa_HH,lisa_LL,lisa_LH,lisa_HL
Kherson,rf_residuals,-0.005229552104553258,-0.0070921985815602835,0.465,0.019992584170289644,False,,,,
Kramatorsk,damaged,0.28016129032258064,-0.00558659217877095,0.001,8.304574523624659,True,,,,
Kramatorsk,damaged_LISA,0.2786048387096774,,,,True,14.0,0.0,20.0,0.0
Kramatorsk,rf_residuals,0.10415298468264028,-0.00558659217877095,0.003,3.324467904061823,True,,,,
Lysychansk,damaged,0.16181207096907935,-0.00012561236025624922,0.001,30.844535270135093,True,,,,
Lysychansk,damaged_LISA,0.1617917479257525,,,,True,241.0,3526.0,332.0,186.0
Lysychansk,rf_residuals,0.09971251663158814,-0.00012561236025624922,0.001,18.50121775245238,True,,,,
Makariv,damaged,0.11433049519210403,-0.0022371364653243847,0.001,5.4282822580034376,True,,,,
Makariv,damaged_LISA,0.11407529319390738,,,,True,21.0,182.0,55.0,11.0
Makariv,rf_residuals,0.08549158533096232,-0.0022371364653243847,0.001,3.9862353218680875,True,,,,
Mariupol,damaged,0.44057443992027984,-4.422039444591846e-05,0.001,142.64598277787482,True,,,,
Mariupol,damaged_LISA,0.4405549584062441,,,,True,2490.0,14870.0,2070.0,142.0
Mariupol,rf_residuals,0.3058124240855237,-4.422039444591846e-05,0.001,95.7477913867751,True,,,,
Moschun,damaged,0.12086323697095709,-0.001040582726326743,0.001,8.096438466662661,True,,,,
Moschun,damaged_LISA,0.12073759951048839,,,,True,16.0,0.0,78.0,20.0
Moschun,rf_residuals,0.08366595547655958,-0.001040582726326743,0.001,5.799739164315809,True,,,,
Okhtyrka,damaged,0.16614832535885174,-0.0038910505836575876,0.001,6.149181692243889,True,,,,
Okhtyrka,damaged_LISA,0.16550433960164687,,,,True,6.0,0.0,41.0,0.0
Okhtyrka,rf_residuals,0.07370203667880317,-0.0038910505836575876,0.011,2.6378909549347354,True,,,,
Rubizhne,damaged,0.12375984805551314,-0.0001999600079984003,0.001,18.74834960245011,True,,,,
Rubizhne,damaged_LISA,0.12373510598273116,,,,True,206.0,0.0,732.0,128.0
Rubizhne,rf_residuals,0.09893911303401257,-0.0001999600079984003,0.001,14.688037358698995,True,,,,
Sievierodonetsk,damaged,0.17826287269068958,-0.00022639800769753225,0.001,25.068885678342255,True,,,,
Sievierodonetsk,damaged_LISA,0.17822252346644993,,,,True,125.0,0.0,388.0,0.0
Sievierodonetsk,rf_residuals,0.11161216658620722,-0.00022639800769753225,0.001,15.58642761211628,True,,,,
Trostianets,damaged,0.07627217553688141,-0.007042253521126761,0.025,2.4017715510302025,True,,,,
Trostianets,damaged_LISA,0.07573880367998015,,,,True,1.0,0.0,7.0,0.0
Trostianets,rf_residuals,0.027297201789320737,-0.007042253521126761,0.162,0.938681040221779,False,,,,
Volnovakha,damaged,0.2832390928191818,-0.0005414185165132648,0.001,27.537850212081178,True,,,,
Volnovakha,damaged_LISA,0.28308582491181217,,,,True,86.0,0.0,157.0,20.0
Volnovakha,rf_residuals,0.2244605138344752,-0.0005414185165132648,0.001,20.84924964766388,True,,,,
