file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_NB08b_xBD_RGB_ExtraTrees__20260424_062449_51866a.parquet,NB08b_xBD_RGB_ExtraTrees,dataset=xBD;feature_set=RGB;classifier=ExtraTrees,70931,10401,12158,10630,37742
oof_NB08b_xBD_RGB_GBM__20260422_152038_51866a.parquet,NB08b_xBD_RGB_GBM,dataset=xBD;feature_set=RGB;classifier=GBM,70931,7185,15374,6041,42331
oof_NB08b_xBD_RGB_GBM__20260424_062449_51866a.parquet,NB08b_xBD_RGB_GBM,dataset=xBD;feature_set=RGB;classifier=GBM,70931,7185,15374,6041,42331
oof_NB08b_xBD_RGB_LightGBM__20260424_062449_51866a.parquet,NB08b_xBD_RGB_LightGBM,dataset=xBD;feature_set=RGB;classifier=LightGBM,70931,13257,9302,15766,32606
oof_NB08b_xBD_RGB_LogReg__20260422_152038_51866a.parquet,NB08b_xBD_RGB_LogReg,dataset=xBD;feature_set=RGB;classifier=LogReg,70931,12925,9634,18393,29979
oof_NB08b_xBD_RGB_LogReg__20260424_062449_51866a.parquet,NB08b_xBD_RGB_LogReg,dataset=xBD;feature_set=RGB;classifier=LogReg,70931,12925,9634,18393,29979
oof_NB08b_xBD_RGB_RF-200__20260422_152038_51866a.parquet,NB08b_xBD_RGB_RF-200,dataset=xBD;feature_set=RGB;classifier=RF-200,70931,8314,14245,7574,40798
oof_NB08b_xBD_RGB_RF-200__20260424_062449_51866a.parquet,NB08b_xBD_RGB_RF-200,dataset=xBD;feature_set=RGB;classifier=RF-200,70931,8314,14245,7574,40798
oof_NB08b_xBD_RGB_UISEM_voting__20260424_062449_51866a.parquet,NB08b_xBD_RGB_UISEM_voting,dataset=xBD;feature_set=RGB;classifier=UISEM_voting,70931,7582,14977,6294,42078
oof_NB08b_xBD_RGB_XGBoost__20260424_062449_51866a.parquet,NB08b_xBD_RGB_XGBoost,dataset=xBD;feature_set=RGB;classifier=XGBoost,70931,7449,15110,6431,41941
