city,feature,auc_raw,auc_best,direction,mann_whitney_u,mann_whitney_p,mean_damaged,mean_control,n_valid
Avdiivka,s2__composite__ndbi__prebattle_baseline,0.48335940343731865,0.5166405965626814,lower=damaged,49133.0,0.5938380491036527,0.00897057,0.010793223,1186
Avdiivka,s2__composite__ndbi__winter_baseline,0.48335940343731865,0.5166405965626814,lower=damaged,49133.0,0.5938380491036527,0.00897057,0.010793223,1186
Avdiivka,s2__obs_count__post_winter_baseline,0.48622711487569975,0.5137728851243002,lower=damaged,49424.5,0.603660568606075,2.5698924,2.5974383,1186
Avdiivka,s2__qa__cloud_freq__crossbattle,0.5098574506389635,0.5098574506389635,higher=damaged,51826.5,0.0016596974268023187,0.00092405913,2.8591034e-05,1186
Avdiivka,s2__visibility__clear__freq__postbattle,0.49019173823648043,0.5098082617635196,lower=damaged,49827.5,0.7151323088668952,0.90752697,0.9112535,1186
Avdiivka,s2__qa__cloud_freq__postbattle,0.509675451799821,0.509675451799821,higher=damaged,51808.0,0.7237296956618398,0.08991936,0.08502974,1186
Avdiivka,s2__visibility__cloud__freq__postbattle,0.506271581619101,0.506271581619101,higher=damaged,51462.0,0.8153419093824955,0.09032258,0.08801464,1186
Avdiivka,s2__visibility__smoke__freq__crossbattle,0.5035465179195073,0.5035465179195073,higher=damaged,51185.0,0.3117055643533765,0.000672043,0.00022872827,1186
Avdiivka,s2__visibility__smoke__freq__postbattle,0.5035465179195073,0.5035465179195073,higher=damaged,51185.0,0.3117055643533765,0.0021505377,0.0007319305,1186
Avdiivka,s2__visibility__fire__freq__crossbattle,0.4990850869167429,0.5009149130832571,lower=damaged,50731.5,0.6814562996343234,0.0,0.000114364135,1186
Avdiivka,s2__visibility__fire__freq__postbattle,0.5,0.5,higher=damaged,50824.5,1.0,0.0,0.0,1186
Avdiivka,s2__visibility__fire__freq__prebattle,0.5,0.5,higher=damaged,50824.5,1.0,0.0,0.0,1186
Avdiivka,s2__visibility__smoke__freq__prebattle,0.5,0.5,higher=damaged,50824.5,1.0,0.0,0.0,1186
Bucha,s2__composite__b02__post_winter_baseline,0.71126295682463,0.71126295682463,higher=damaged,202562.0,9.993343232508319e-22,0.173256,0.15098119,1662
Bucha,s2__composite__b03__post_winter_baseline,0.6802332930700301,0.6802332930700301,higher=damaged,193725.0,3.075670499352468e-16,0.16441417,0.14307156,1662
Bucha,s2__composite__b04__post_winter_baseline,0.6720308154723447,0.6720308154723447,higher=damaged,191389.0,6.265508347726066e-15,0.16968855,0.14772704,1662
Bucha,s2__composite__ndvi__post_winter_baseline,0.35119666282760753,0.6488033371723925,lower=damaged,100018.0,1.524716718568178e-11,0.08397582,0.11872427,1662
Bucha,s2__composite__ndre__post_winter_baseline,0.36413944211916066,0.6358605578808394,lower=damaged,103704.0,7.32977407121528e-10,0.06531309,0.0881256,1662
Bucha,s2__composite__cire__post_winter_baseline,0.36470827832242475,0.6352917216775753,lower=damaged,103866.0,8.622936235564009e-10,0.0996311,0.13915597,1662
Bucha,s2__composite__ndwi__post_winter_baseline,0.6283673698699402,0.6283673698699402,higher=damaged,178954.0,5.91592798364698e-09,-0.09934779,-0.1325213,1662
Bucha,s2__composite__b05__post_winter_baseline,0.6277318183095031,0.6277318183095031,higher=damaged,178773.0,7.0258288582312134e-09,0.17548788,0.16236624,1662
Bucha,s2__composite__ndwi__delta,0.6147609483412455,0.6147609483412455,higher=damaged,175079.0,1.9683098794343673e-07,-0.036648892,-0.060844976,1662
Bucha,s2__composite__ndvi__delta,0.3896352425629933,0.6103647574370067,lower=damaged,110965.0,5.6440234132394e-07,0.031692956,0.050638977,1662
