experiment,n_rows,n_cities_total,n_cities_scored,pooled_auc,pooled_auc_no_mariupol,mean_folds_auc,std_folds_auc,gap_pooled_minus_folds
R1_geographic_70_30,9121,7,7,0.5503191279884049,0.5503191279884049,0.6349446710398746,0.13457087242610294,-0.08462554305146974
D1c_pre_composite,62043,19,19,0.6431124825994636,0.6370505864551441,0.6349135446826657,0.10513025004033962,0.008198937916797933
E2_LightGBM_all,387066,15,15,0.719329422383606,0.719329422383606,0.6328033957144407,0.13457457180037175,0.08652602666916531
E1_base_LGBM,387066,15,15,0.719329422383606,0.719329422383606,0.6328033957144407,0.13457457180037175,0.08652602666916531
NB08b_BDA_COH_DROP+RGB+CARD_UISEM_voting,205942,12,12,0.5668108892357583,0.6569053541425702,0.6328005854786765,0.10783835567901422,-0.06598969624291817
R3b_card_only,62043,19,19,0.5313261671959684,0.5653196701426257,0.6316971002594226,0.14867914253330058,-0.10037093306345424
R4b_tier1_all,18513,10,10,0.6271128354370032,0.6271128354370032,0.6312412487275105,0.07548603326575701,-0.004128413290507282
C10_leaky_F2_fusion_ms_card_cohdrop,51293,11,11,0.6418972998958394,0.6248150420772278,0.6311884520472026,0.09676986628937895,0.010708847848636793
C_F2_fusion_ms_card_cohdrop,51293,11,11,0.6418972998958394,0.6248150420772278,0.6311884520472026,0.09676986628937895,0.010708847848636793
P_F7_fusion_composite_cohdrop_LightGBM_Optuna,51293,11,11,0.655658716978293,0.6126415186130154,0.6304572625502767,0.08459877957223974,0.025201454428016357
R3b_card_coh,62043,19,19,0.542348438047852,0.5672712364713511,0.6299241001180861,0.14780330973328637,-0.08757566207023404
NB08b_BDA_CARD_XGBoost,368288,21,21,0.6115991486591961,0.6516793853649425,0.6272196233350043,0.1209406122291746,-0.015620474675808182
C_A22_lu_change,62043,19,19,0.5971808378788326,0.5841008521988466,0.6266364539878593,0.14192080179889616,-0.029455616109026694
C10_leaky_A22_lu_change,62043,19,19,0.5971808378788326,0.5841008521988466,0.6266364539878593,0.14192080179889616,-0.029455616109026694
