city,feature,method,bhattacharyya,jm_distance,chi2,chi2_p,cramers_v,separability
Avdiivka,s2__composite__b07__prebattle_baseline__p10,bhattacharyya,0.11490949988365173,0.21710634231567383,,,,poor
Avdiivka,s2__composite__b07__prebattle_baseline__p50,bhattacharyya,0.09398797154426575,0.1794126033782959,,,,poor
Avdiivka,s2__composite__b07__prebattle_baseline__p90,bhattacharyya,0.0689753070473671,0.1333005428314209,,,,poor
Avdiivka,s2__composite__b07__prebattle_baseline__std,bhattacharyya,0.08383134007453918,0.1608273983001709,,,,poor
Avdiivka,s2__composite__b07__winter_baseline__max,bhattacharyya,0.062208693474531174,0.12062644958496094,,,,poor
Avdiivka,s2__composite__b07__winter_baseline__max_abs_delta,bhattacharyya,0.0759420394897461,0.14626026153564453,,,,poor
Avdiivka,s2__composite__b07__winter_baseline__mean,bhattacharyya,0.09173454344272614,0.17530536651611328,,,,poor
Avdiivka,s2__composite__b07__winter_baseline__min,bhattacharyya,0.11629973351955414,0.2195833921432495,,,,poor
Avdiivka,s2__composite__b07__winter_baseline__p10,bhattacharyya,0.11490949988365173,0.21710634231567383,,,,poor
Avdiivka,s2__composite__b07__winter_baseline__p50,bhattacharyya,0.09398797154426575,0.1794126033782959,,,,poor
Avdiivka,s2__composite__b07__winter_baseline__p90,bhattacharyya,0.0689753070473671,0.1333005428314209,,,,poor
Avdiivka,s2__composite__b07__winter_baseline__std,bhattacharyya,0.08383134007453918,0.1608273983001709,,,,poor
Avdiivka,s2__composite__b08__post_winter_baseline__max,bhattacharyya,0.04221540316939354,0.08267354965209961,,,,poor
Avdiivka,s2__composite__b08__post_winter_baseline__max_abs_delta,bhattacharyya,0.08271852135658264,0.15877938270568848,,,,poor
Avdiivka,s2__composite__b08__post_winter_baseline__mean,bhattacharyya,0.035898320376873016,0.07052326202392578,,,,poor
Avdiivka,s2__composite__b08__post_winter_baseline__min,bhattacharyya,0.04322244971990585,0.08460330963134766,,,,poor
Avdiivka,s2__composite__b08__post_winter_baseline__p10,bhattacharyya,0.0409749336540699,0.08029353618621826,,,,poor
Avdiivka,s2__composite__b08__post_winter_baseline__p50,bhattacharyya,0.045812688767910004,0.08955824375152588,,,,poor
Avdiivka,s2__composite__b08__post_winter_baseline__p90,bhattacharyya,0.04646128788590431,0.09079694747924805,,,,poor
Avdiivka,s2__composite__b08__post_winter_baseline__std,bhattacharyya,0.09362198412418365,0.17874598503112793,,,,poor
Avdiivka,s2__composite__b08__prebattle_baseline__max,bhattacharyya,0.05541086569428444,0.10780715942382812,,,,poor
Avdiivka,s2__composite__b08__prebattle_baseline__max_abs_delta,bhattacharyya,0.03917998820543289,0.07684481143951416,,,,poor
Avdiivka,s2__composite__b08__prebattle_baseline__mean,bhattacharyya,0.10119427740573883,0.19248509407043457,,,,poor
Avdiivka,s2__composite__b08__prebattle_baseline__min,bhattacharyya,0.12153278291225433,0.22887587547302246,,,,poor
Avdiivka,s2__composite__b08__prebattle_baseline__p10,bhattacharyya,0.12897594273090363,0.24200987815856934,,,,poor
Avdiivka,s2__composite__b08__prebattle_baseline__p50,bhattacharyya,0.10627272725105286,0.20164120197296143,,,,poor
Avdiivka,s2__composite__b08__prebattle_baseline__p90,bhattacharyya,0.06734483689069748,0.13025450706481934,,,,poor
Avdiivka,s2__composite__b08__prebattle_baseline__std,bhattacharyya,0.04838643968105316,0.09446895122528076,,,,poor
Avdiivka,s2__composite__b08__winter_baseline__max,bhattacharyya,0.05541086569428444,0.10780715942382812,,,,poor
Avdiivka,s2__composite__b08__winter_baseline__max_abs_delta,bhattacharyya,0.03917998820543289,0.07684481143951416,,,,poor
Avdiivka,s2__composite__b08__winter_baseline__mean,bhattacharyya,0.10119427740573883,0.19248509407043457,,,,poor
Avdiivka,s2__composite__b08__winter_baseline__min,bhattacharyya,0.12153278291225433,0.22887587547302246,,,,poor
Avdiivka,s2__composite__b08__winter_baseline__p10,bhattacharyya,0.12897594273090363,0.24200987815856934,,,,poor
Avdiivka,s2__composite__b08__winter_baseline__p50,bhattacharyya,0.10627272725105286,0.20164120197296143,,,,poor
Avdiivka,s2__composite__b08__winter_baseline__p90,bhattacharyya,0.06734483689069748,0.13025450706481934,,,,poor
Avdiivka,s2__composite__b08__winter_baseline__std,bhattacharyya,0.04838643968105316,0.09446895122528076,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline__max,bhattacharyya,0.016283774748444557,0.032303810119628906,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline__max_abs_delta,bhattacharyya,0.13365072011947632,0.2502087354660034,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline__mean,bhattacharyya,0.04452144727110863,0.0870898962020874,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline__min,bhattacharyya,0.08301064372062683,0.1593172550201416,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline__p10,bhattacharyya,0.0752304345369339,0.14494061470031738,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline__p50,bhattacharyya,0.042204178869724274,0.08265209197998047,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline__p90,bhattacharyya,0.02092442475259304,0.04141414165496826,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline__std,bhattacharyya,0.13025793433189392,0.24426209926605225,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline__max,bhattacharyya,0.07066085189580917,0.1364443302154541,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline__max_abs_delta,bhattacharyya,0.0491199716925621,0.09586620330810547,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline__mean,bhattacharyya,0.09106239676475525,0.1740785837173462,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline__min,bhattacharyya,0.10131195187568665,0.19269776344299316,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline__p10,bhattacharyya,0.10112974792718887,0.1923685073852539,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline__p50,bhattacharyya,0.09335334599018097,0.17825675010681152,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline__p90,bhattacharyya,0.07578705996274948,0.1459728479385376,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline__std,bhattacharyya,0.04108903557062149,0.08051276206970215,,,,poor
Avdiivka,s2__composite__b11__winter_baseline__max,bhattacharyya,0.07066085189580917,0.1364443302154541,,,,poor
Avdiivka,s2__composite__b11__winter_baseline__max_abs_delta,bhattacharyya,0.0491199716925621,0.09586620330810547,,,,poor
Avdiivka,s2__composite__b11__winter_baseline__mean,bhattacharyya,0.09106239676475525,0.1740785837173462,,,,poor
Avdiivka,s2__composite__b11__winter_baseline__min,bhattacharyya,0.10131195187568665,0.19269776344299316,,,,poor
Avdiivka,s2__composite__b11__winter_baseline__p10,bhattacharyya,0.10112974792718887,0.1923685073852539,,,,poor
Avdiivka,s2__composite__b11__winter_baseline__p50,bhattacharyya,0.09335334599018097,0.17825675010681152,,,,poor
Avdiivka,s2__composite__b11__winter_baseline__p90,bhattacharyya,0.07578705996274948,0.1459728479385376,,,,poor
Avdiivka,s2__composite__b11__winter_baseline__std,bhattacharyya,0.04108903557062149,0.08051276206970215,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline__max,bhattacharyya,0.015228604897856712,0.03022634983062744,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline__max_abs_delta,bhattacharyya,0.15766572952270508,0.2917294502258301,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline__mean,bhattacharyya,0.022164173424243927,0.043840646743774414,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline__min,bhattacharyya,0.06059875339269638,0.11759841442108154,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline__p10,bhattacharyya,0.05249510705471039,0.10228204727172852,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline__p50,bhattacharyya,0.02011461928486824,0.03982734680175781,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline__p90,bhattacharyya,0.012044394388794899,0.023944377899169922,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline__std,bhattacharyya,0.1644100844860077,0.30321204662323,,,,poor
