model_a,model_b,mod_family_a,mod_family_b,n_common,kappa_point,kappa_mean,kappa_lo,kappa_hi,kappa_ci_width
B5_UISEM_RF_Optuna_bldg,R3b_card_ms,,,0,,,,,
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_LightGBM_Optuna_bldg,other,other,40635,0.7332,0.7332,0.7269,0.7398,0.013
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_Tuned_Voting_bldg,other,other,40635,0.7155,0.7151,0.7083,0.7219,0.0136
B5_UISEM_ExtraTrees_Optuna_bldg,B5_sub_RF_full_F8_bldg,other,other,40635,0.5886,0.5888,0.5809,0.5962,0.0153
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_XGBoost_Optuna_bldg,other,other,40635,0.6299,0.6301,0.6227,0.6369,0.0142
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_ExtraTrees_Optuna,,,0,,,,,
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_RF_Optuna,,,0,,,,,
B5_UISEM_ExtraTrees_Optuna_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,40635,0.6254,0.6255,0.6179,0.6333,0.0154
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_LightGBM_Optuna,,,0,,,,,
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_Tuned_Voting,,,0,,,,,
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,40635,0.5625,0.5625,0.554,0.5711,0.0171
B5_UISEM_ExtraTrees_Optuna_bldg,R3b_card_ms,,,0,,,,,
B5_UISEM_LightGBM_Optuna_bldg,B5_UISEM_Tuned_Voting_bldg,other,other,40635,0.9251,0.925,0.9211,0.9286,0.0075
B5_UISEM_LightGBM_Optuna_bldg,B5_sub_RF_full_F8_bldg,other,other,40635,0.6328,0.6327,0.6251,0.6406,0.0155
B5_UISEM_LightGBM_Optuna_bldg,B5_UISEM_XGBoost_Optuna_bldg,other,other,40635,0.7679,0.7676,0.7617,0.7735,0.0118
B5_UISEM_LightGBM_Optuna_bldg,B5_UISEM_ExtraTrees_Optuna,,,0,,,,,
B5_UISEM_LightGBM_Optuna_bldg,B5_UISEM_RF_Optuna,,,0,,,,,
B5_UISEM_LightGBM_Optuna_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,40635,0.7123,0.7124,0.7057,0.7194,0.0137
B5_UISEM_LightGBM_Optuna_bldg,B5_UISEM_LightGBM_Optuna,,,0,,,,,
B5_UISEM_LightGBM_Optuna_bldg,B5_UISEM_Tuned_Voting,,,0,,,,,
B5_UISEM_LightGBM_Optuna_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,40635,0.6515,0.6518,0.6444,0.6585,0.0142
B5_UISEM_LightGBM_Optuna_bldg,R3b_card_ms,,,0,,,,,
B5_UISEM_Tuned_Voting_bldg,B5_sub_RF_full_F8_bldg,other,other,40635,0.6564,0.6563,0.6483,0.6637,0.0153
B5_UISEM_Tuned_Voting_bldg,B5_UISEM_XGBoost_Optuna_bldg,other,other,40635,0.8423,0.8423,0.8371,0.8473,0.0102
B5_UISEM_Tuned_Voting_bldg,B5_UISEM_ExtraTrees_Optuna,,,0,,,,,
B5_UISEM_Tuned_Voting_bldg,B5_UISEM_RF_Optuna,,,0,,,,,
B5_UISEM_Tuned_Voting_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,40635,0.7312,0.731,0.7247,0.7378,0.0131
B5_UISEM_Tuned_Voting_bldg,B5_UISEM_LightGBM_Optuna,,,0,,,,,
B5_UISEM_Tuned_Voting_bldg,B5_UISEM_Tuned_Voting,,,0,,,,,
B5_UISEM_Tuned_Voting_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,40635,0.6735,0.6736,0.6668,0.6803,0.0134
B5_UISEM_Tuned_Voting_bldg,R3b_card_ms,,,0,,,,,
B5_sub_RF_full_F8_bldg,B5_UISEM_XGBoost_Optuna_bldg,other,other,40635,0.655,0.6549,0.6468,0.662,0.0152
B5_sub_RF_full_F8_bldg,B5_UISEM_ExtraTrees_Optuna,,,0,,,,,
B5_sub_RF_full_F8_bldg,B5_UISEM_RF_Optuna,,,0,,,,,
B5_sub_RF_full_F8_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,40635,0.6074,0.6072,0.5993,0.6139,0.0145
B5_sub_RF_full_F8_bldg,B5_UISEM_LightGBM_Optuna,,,0,,,,,
B5_sub_RF_full_F8_bldg,B5_UISEM_Tuned_Voting,,,0,,,,,
B5_sub_RF_full_F8_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,40635,0.5764,0.5765,0.5692,0.5844,0.0152
B5_sub_RF_full_F8_bldg,R3b_card_ms,,,0,,,,,
B5_UISEM_XGBoost_Optuna_bldg,B5_UISEM_ExtraTrees_Optuna,,,0,,,,,
B5_UISEM_XGBoost_Optuna_bldg,B5_UISEM_RF_Optuna,,,0,,,,,
B5_UISEM_XGBoost_Optuna_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,40635,0.7138,0.7137,0.7068,0.7207,0.0139
B5_UISEM_XGBoost_Optuna_bldg,B5_UISEM_LightGBM_Optuna,,,0,,,,,
B5_UISEM_XGBoost_Optuna_bldg,B5_UISEM_Tuned_Voting,,,0,,,,,
B5_UISEM_XGBoost_Optuna_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,40635,0.6767,0.6765,0.6693,0.684,0.0147
B5_UISEM_XGBoost_Optuna_bldg,R3b_card_ms,,,0,,,,,
B5_UISEM_ExtraTrees_Optuna,B5_UISEM_RF_Optuna,other,other,62043,0.7598,0.7598,0.7543,0.7652,0.0108
B5_UISEM_ExtraTrees_Optuna,B6_UISEM_Model1_full_F8_bldg,,,0,,,,,
B5_UISEM_ExtraTrees_Optuna,B5_UISEM_LightGBM_Optuna,other,other,62043,0.6032,0.6034,0.596,0.6116,0.0155
B5_UISEM_ExtraTrees_Optuna,B5_UISEM_Tuned_Voting,other,other,62043,0.1302,0.1302,0.1244,0.1357,0.0113
B5_UISEM_ExtraTrees_Optuna,B5_UISEM_Model2_full_F8_bldg,,,0,,,,,
B5_UISEM_ExtraTrees_Optuna,R3b_card_ms,other,other,62043,0.0229,0.0229,0.0202,0.0252,0.005
B5_UISEM_RF_Optuna,B6_UISEM_Model1_full_F8_bldg,,,0,,,,,
B5_UISEM_RF_Optuna,B5_UISEM_LightGBM_Optuna,other,other,62043,0.6699,0.6702,0.6639,0.677,0.0131
B5_UISEM_RF_Optuna,B5_UISEM_Tuned_Voting,other,other,62043,0.1428,0.1427,0.1365,0.1487,0.0123
B5_UISEM_RF_Optuna,B5_UISEM_Model2_full_F8_bldg,,,0,,,,,
B5_UISEM_RF_Optuna,R3b_card_ms,other,other,62043,0.0253,0.0251,0.0223,0.0281,0.0057
B6_UISEM_Model1_full_F8_bldg,B5_UISEM_LightGBM_Optuna,,,0,,,,,
B6_UISEM_Model1_full_F8_bldg,B5_UISEM_Tuned_Voting,,,0,,,,,
B6_UISEM_Model1_full_F8_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,40635,0.8918,0.8919,0.887,0.8962,0.0092
B6_UISEM_Model1_full_F8_bldg,R3b_card_ms,,,0,,,,,
B5_UISEM_LightGBM_Optuna,B5_UISEM_Tuned_Voting,other,other,62043,0.2363,0.2364,0.2263,0.2459,0.0197
B5_UISEM_LightGBM_Optuna,B5_UISEM_Model2_full_F8_bldg,,,0,,,,,
B5_UISEM_LightGBM_Optuna,R3b_card_ms,other,other,62043,0.043,0.043,0.0381,0.0476,0.0095
B5_UISEM_Tuned_Voting,B5_UISEM_Model2_full_F8_bldg,,,0,,,,,
B5_UISEM_Tuned_Voting,R3b_card_ms,other,other,62043,0.2623,0.2617,0.2371,0.2866,0.0495
B5_UISEM_Model2_full_F8_bldg,R3b_card_ms,,,0,,,,,
