file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_D1_blk_pre_baseline_all__20260423_211335_06ea54.parquet,D1_blk_pre_baseline_all,feat_set=pre_baseline_all,598595,598,6734,33650,557613
oof_D1_blk_pre_baseline_mean__20260422_120607_06ea54.parquet,D1_blk_pre_baseline_mean,feat_set=pre_baseline_mean,598595,598,6734,33642,557621
oof_D1_blk_pre_baseline_mean__20260422_144554_06ea54.parquet,D1_blk_pre_baseline_mean,feat_set=pre_baseline_mean,598595,598,6734,33642,557621
oof_D1_blk_pre_baseline_mean__20260422_205106_06ea54.parquet,D1_blk_pre_baseline_mean,feat_set=pre_baseline_mean,598595,598,6734,33642,557621
oof_D1_blk_pre_baseline_mean__20260423_002242_06ea54.parquet,D1_blk_pre_baseline_mean,feat_set=pre_baseline_mean,598595,598,6734,33642,557621
oof_D1_blk_pre_baseline_mean__20260423_211335_06ea54.parquet,D1_blk_pre_baseline_mean,feat_set=pre_baseline_mean,598595,598,6734,33643,557620
oof_D1_delta_only__20260422_120607_06ea54.parquet,D1_delta_only,feat_set=delta_only,598595,598,6734,33645,557618
oof_D1_delta_only__20260422_144554_06ea54.parquet,D1_delta_only,feat_set=delta_only,598595,598,6734,33645,557618
oof_D1_delta_only__20260422_205106_06ea54.parquet,D1_delta_only,feat_set=delta_only,598595,598,6734,33645,557618
oof_D1_delta_only__20260423_002242_06ea54.parquet,D1_delta_only,feat_set=delta_only,598595,598,6734,33645,557618
oof_D1_delta_only__20260423_211335_06ea54.parquet,D1_delta_only,feat_set=delta_only,598595,598,6734,33645,557618
oof_D1_post_only__20260422_120607_06ea54.parquet,D1_post_only,feat_set=post_only,598595,598,6734,33642,557621
oof_D1_post_only__20260422_144554_06ea54.parquet,D1_post_only,feat_set=post_only,598595,598,6734,33642,557621
oof_D1_post_only__20260422_205106_06ea54.parquet,D1_post_only,feat_set=post_only,598595,598,6734,33642,557621
oof_D1_post_only__20260423_002242_06ea54.parquet,D1_post_only,feat_set=post_only,598595,598,6734,33642,557621
oof_D1_post_only__20260423_211335_06ea54.parquet,D1_post_only,feat_set=post_only,598595,598,6734,33642,557621
oof_D1_pre+post+delta__20260422_120607_06ea54.parquet,D1_pre+post+delta,feat_set=pre+post+delta,598595,603,6729,33642,557621
oof_D1_pre+post+delta__20260422_144554_06ea54.parquet,D1_pre+post+delta,feat_set=pre+post+delta,598595,603,6729,33642,557621
oof_D1_pre+post+delta__20260422_205106_06ea54.parquet,D1_pre+post+delta,feat_set=pre+post+delta,598595,603,6729,33642,557621
oof_D1_pre+post+delta__20260423_002242_06ea54.parquet,D1_pre+post+delta,feat_set=pre+post+delta,598595,603,6729,33642,557621
oof_D1_pre+post+delta__20260423_211335_06ea54.parquet,D1_pre+post+delta,feat_set=pre+post+delta,598595,603,6729,33642,557621
oof_D1_pre+post__20260422_120607_06ea54.parquet,D1_pre+post,feat_set=pre+post,598595,600,6732,33643,557620
oof_D1_pre+post__20260422_144554_06ea54.parquet,D1_pre+post,feat_set=pre+post,598595,600,6732,33643,557620
oof_D1_pre+post__20260422_205106_06ea54.parquet,D1_pre+post,feat_set=pre+post,598595,600,6732,33643,557620
oof_D1_pre+post__20260423_002242_06ea54.parquet,D1_pre+post,feat_set=pre+post,598595,600,6732,33643,557620
oof_D1_pre+post__20260423_211335_06ea54.parquet,D1_pre+post,feat_set=pre+post,598595,600,6732,33643,557620
oof_D1_pre_only__20260422_120607_06ea54.parquet,D1_pre_only,feat_set=pre_only,598595,598,6734,33643,557620
oof_D1_pre_only__20260422_144554_06ea54.parquet,D1_pre_only,feat_set=pre_only,598595,598,6734,33643,557620
oof_D1_pre_only__20260422_205106_06ea54.parquet,D1_pre_only,feat_set=pre_only,598595,598,6734,33643,557620
oof_D1_pre_only__20260423_002242_06ea54.parquet,D1_pre_only,feat_set=pre_only,598595,598,6734,33643,557620
oof_D1_pre_only__20260423_211335_06ea54.parquet,D1_pre_only,feat_set=pre_only,598595,598,6734,33643,557620
oof_D1c_post_composite__20260422_120607_06ea54.parquet,D1c_post_composite,post_only,480313,178,7008,18846,454281
oof_D1c_post_composite__20260422_205106_06ea54.parquet,D1c_post_composite,post_only,480313,178,7008,18846,454281
oof_D1c_post_composite__20260423_002242_06ea54.parquet,D1c_post_composite,post_only,480313,178,7008,18846,454281
oof_D1c_post_composite__20260423_211335_06ea54.parquet,D1c_post_composite,post_only,480313,178,7008,18846,454281
oof_D1c_pre_composite__20260422_120607_06ea54.parquet,D1c_pre_composite,pre_only,480313,159,7027,18901,454226
oof_D1c_pre_composite__20260422_205106_06ea54.parquet,D1c_pre_composite,pre_only,480313,159,7027,18901,454226
oof_D1c_pre_composite__20260423_002242_06ea54.parquet,D1c_pre_composite,pre_only,480313,159,7027,18901,454226
oof_D1c_pre_composite__20260423_211335_06ea54.parquet,D1c_pre_composite,pre_only,480313,158,7028,18882,454245
oof_D1d_delta_only__20260422_120607_06ea54.parquet,D1d_delta_only,feat_set=delta_only,598595,598,6734,33645,557618
