file,notebook,model_id,experiment_id,variant_id,n_rows,n_damaged,TP,FN,FP,TN,id_col,group,recall,precision
nb07/oof_predictions/oof_D1f_roll3_assess__20260423_211335_06ea54.parquet,nb07,D1f_roll3_assess,20260423_211335_06ea54,window=roll3_assess_only,598595,7332,5704,1628,485823,105440,building_id,buildings_v2,0.7779596290234588,0.011604652440252518
nb07/oof_predictions/oof_D1f_roll7_assess__20260422_120607_06ea54.parquet,nb07,D1f_roll7_assess,20260422_120607_06ea54,window=roll7_assess_only,598595,7332,1947,5385,101681,489582,building_id,buildings_v2,0.2655482815057283,0.01878835835874474
nb07/oof_predictions/oof_D1f_roll7_assess__20260422_205106_06ea54.parquet,nb07,D1f_roll7_assess,20260422_205106_06ea54,window=roll7_assess_only,598595,7332,1947,5385,101681,489582,building_id,buildings_v2,0.2655482815057283,0.01878835835874474
nb07/oof_predictions/oof_D1f_roll7_assess__20260423_002242_06ea54.parquet,nb07,D1f_roll7_assess,20260423_002242_06ea54,window=roll7_assess_only,598595,7332,1947,5385,101681,489582,building_id,buildings_v2,0.2655482815057283,0.01878835835874474
nb07/oof_predictions/oof_D1i_allblocks_groupkfold__20260422_120607_06ea54.parquet,nb07,D1i_allblocks_groupkfold,20260422_120607_06ea54,groupkfold_cv,598595,7332,629,6703,33808,557455,building_id,buildings_v2,0.08578832515002728,0.018265237970787235
nb07/oof_predictions/oof_D1i_allblocks_groupkfold__20260422_205106_06ea54.parquet,nb07,D1i_allblocks_groupkfold,20260422_205106_06ea54,groupkfold_cv,598595,7332,629,6703,33808,557455,building_id,buildings_v2,0.08578832515002728,0.018265237970787235
nb07/oof_predictions/oof_D1i_allblocks_groupkfold__20260423_002242_06ea54.parquet,nb07,D1i_allblocks_groupkfold,20260423_002242_06ea54,groupkfold_cv,598595,7332,629,6703,33808,557455,building_id,buildings_v2,0.08578832515002728,0.018265237970787235
nb07/oof_predictions/oof_D1i_allblocks_groupkfold__20260423_211335_06ea54.parquet,nb07,D1i_allblocks_groupkfold,20260423_211335_06ea54,groupkfold_cv,598595,7332,624,6708,33789,557474,building_id,buildings_v2,0.0851063829787234,0.01813268241652864
nb07/oof_predictions/oof_D1i_allblocks_random__20260422_120607_06ea54.parquet,nb07,D1i_allblocks_random,20260422_120607_06ea54,random_cv,598595,7332,702,6630,33755,557508,building_id,buildings_v2,0.09574468085106383,0.020373218794439447
nb07/oof_predictions/oof_D1i_allblocks_random__20260422_205106_06ea54.parquet,nb07,D1i_allblocks_random,20260422_205106_06ea54,random_cv,598595,7332,702,6630,33755,557508,building_id,buildings_v2,0.09574468085106383,0.020373218794439447
nb07/oof_predictions/oof_D1i_allblocks_random__20260423_002242_06ea54.parquet,nb07,D1i_allblocks_random,20260423_002242_06ea54,random_cv,598595,7332,702,6630,33755,557508,building_id,buildings_v2,0.09574468085106383,0.020373218794439447
nb07/oof_predictions/oof_D1i_allblocks_random__20260423_211335_06ea54.parquet,nb07,D1i_allblocks_random,20260423_211335_06ea54,random_cv,598595,7332,685,6647,33741,557522,building_id,buildings_v2,0.09342607746863066,0.019897751699297042
nb07/oof_predictions/oof_D1j_dynamic_groupkfold__20260422_120607_06ea54.parquet,nb07,D1j_dynamic_groupkfold,20260422_120607_06ea54,groupkfold_cv,6684300,21294,1438,19856,207953,6455053,building_id,buildings_v2,0.06753075983845215,0.006867534898825642
nb07/oof_predictions/oof_D1j_dynamic_groupkfold__20260422_205106_06ea54.parquet,nb07,D1j_dynamic_groupkfold,20260422_205106_06ea54,groupkfold_cv,6684300,21294,1438,19856,207953,6455053,building_id,buildings_v2,0.06753075983845215,0.006867534898825642
nb07/oof_predictions/oof_D1j_dynamic_groupkfold__20260423_002242_06ea54.parquet,nb07,D1j_dynamic_groupkfold,20260423_002242_06ea54,groupkfold_cv,6684300,21294,1438,19856,207953,6455053,building_id,buildings_v2,0.06753075983845215,0.006867534898825642
nb07/oof_predictions/oof_D1j_dynamic_groupkfold__20260423_211335_06ea54.parquet,nb07,D1j_dynamic_groupkfold,20260423_211335_06ea54,groupkfold_cv,6684300,21294,1438,19856,207953,6455053,building_id,buildings_v2,0.06753075983845215,0.006867534898825642
