city,base,pre_col,post_col,rho_all,rho_damaged,rho_control,delta_rho
Avdiivka,s2__composite__b04__mean,s2__composite__b04__prebattle_baseline__mean,s2__composite__b04__post_winter_baseline__mean,0.1560212124278917,0.11117245083703857,0.1724950464392268,0.06132259560218824
Avdiivka,s2__composite__b04__min,s2__composite__b04__prebattle_baseline__min,s2__composite__b04__post_winter_baseline__min,0.3117141776355838,0.41472694728382015,0.3084057420792339,-0.10632120520458627
Avdiivka,s2__composite__b04__p10,s2__composite__b04__prebattle_baseline__p10,s2__composite__b04__post_winter_baseline__p10,0.2866894421668678,0.37121808383994315,0.2889641795521097,-0.08225390428783347
Avdiivka,s2__composite__b04__p50,s2__composite__b04__prebattle_baseline__p50,s2__composite__b04__post_winter_baseline__p50,0.17686062615632553,0.11273374290876431,0.18973668070298746,0.07700293779422315
Avdiivka,s2__composite__b04__p90,s2__composite__b04__prebattle_baseline__p90,s2__composite__b04__post_winter_baseline__p90,0.07652224666718573,-0.03892751633791888,0.09332567070074477,0.13225318703866365
Avdiivka,s2__composite__b04__std,s2__composite__b04__prebattle_baseline__std,s2__composite__b04__post_winter_baseline__std,0.07805741983822309,0.017964250544597295,0.08361426263651825,0.06565001209192095
Avdiivka,s2__composite__b05__max,s2__composite__b05__prebattle_baseline__max,s2__composite__b05__post_winter_baseline__max,0.09583036451981906,0.047894721136343285,0.10768692804227192,0.05979220690592864
Avdiivka,s2__composite__b05__mean,s2__composite__b05__prebattle_baseline__mean,s2__composite__b05__post_winter_baseline__mean,0.1349345759854989,0.1743158962728656,0.14820523325408133,-0.026110663018784258
Avdiivka,s2__composite__b05__min,s2__composite__b05__prebattle_baseline__min,s2__composite__b05__post_winter_baseline__min,0.17831915350808103,0.3350392408462892,0.1815040966611148,-0.15353514418517442
Avdiivka,s2__composite__b05__p10,s2__composite__b05__prebattle_baseline__p10,s2__composite__b05__post_winter_baseline__p10,0.17340691972503003,0.2999462862940527,0.1780035071381764,-0.12194277915587629
Avdiivka,s2__composite__b05__p50,s2__composite__b05__prebattle_baseline__p50,s2__composite__b05__post_winter_baseline__p50,0.139709203735583,0.1620214258004834,0.15452974507822553,-0.007491680722257865
Avdiivka,s2__composite__b05__p90,s2__composite__b05__prebattle_baseline__p90,s2__composite__b05__post_winter_baseline__p90,0.10068535792110955,0.07827280594431678,0.11247864310853833,0.034205837164221556
Avdiivka,s2__composite__b05__std,s2__composite__b05__prebattle_baseline__std,s2__composite__b05__post_winter_baseline__std,0.1055422787025514,0.048939154307540804,0.08060341421102206,0.031664259903481255
Avdiivka,s2__composite__b07__max,s2__composite__b07__prebattle_baseline__max,s2__composite__b07__post_winter_baseline__max,0.022189881189775686,0.09455104294112379,0.03313147286211401,-0.061419570079009785
Avdiivka,s2__composite__b07__mean,s2__composite__b07__prebattle_baseline__mean,s2__composite__b07__post_winter_baseline__mean,0.06125774947171453,0.20864790665751543,0.06525347126250094,-0.14339443539501448
Avdiivka,s2__composite__b07__min,s2__composite__b07__prebattle_baseline__min,s2__composite__b07__post_winter_baseline__min,0.1141527144388503,0.382226665227008,0.1042371811407551,-0.2779894840862529
Avdiivka,s2__composite__b07__p10,s2__composite__b07__prebattle_baseline__p10,s2__composite__b07__post_winter_baseline__p10,0.10717942352532758,0.35614557960909793,0.09950066651235082,-0.2566449130967471
Avdiivka,s2__composite__b07__p50,s2__composite__b07__prebattle_baseline__p50,s2__composite__b07__post_winter_baseline__p50,0.05966774733857287,0.198964519113127,0.0656736418287381,-0.13329087728438888
Avdiivka,s2__composite__b07__p90,s2__composite__b07__prebattle_baseline__p90,s2__composite__b07__post_winter_baseline__p90,0.029179148117526456,0.12341516000488713,0.03858237634089706,-0.08483278366399007
Avdiivka,s2__composite__b07__std,s2__composite__b07__prebattle_baseline__std,s2__composite__b07__post_winter_baseline__std,0.16505360881222192,0.15409865417325652,0.13739397549189158,-0.016704678681364937
Avdiivka,s2__composite__b08__max,s2__composite__b08__prebattle_baseline__max,s2__composite__b08__post_winter_baseline__max,0.0188167545693105,0.028826570578900257,0.034907602579305176,0.006081032000404919
Avdiivka,s2__composite__b08__mean,s2__composite__b08__prebattle_baseline__mean,s2__composite__b08__post_winter_baseline__mean,0.08049515047719862,0.17977678971084118,0.0932880309395533,-0.08648875877128788
Avdiivka,s2__composite__b08__min,s2__composite__b08__prebattle_baseline__min,s2__composite__b08__post_winter_baseline__min,0.2597484073262034,0.5381482061876217,0.2334738387393069,-0.3046743674483148
Avdiivka,s2__composite__b08__p10,s2__composite__b08__prebattle_baseline__p10,s2__composite__b08__post_winter_baseline__p10,0.22287337715518182,0.44819611470860304,0.20883035251997725,-0.2393657621886258
Avdiivka,s2__composite__b08__p50,s2__composite__b08__prebattle_baseline__p50,s2__composite__b08__post_winter_baseline__p50,0.07585272185928255,0.17436586095644357,0.09285410212963291,-0.08151175882681067
Avdiivka,s2__composite__b08__p90,s2__composite__b08__prebattle_baseline__p90,s2__composite__b08__post_winter_baseline__p90,0.029145764924156173,0.02809525230521321,0.04988722661818726,0.021791974312974048
Avdiivka,s2__composite__b08__std,s2__composite__b08__prebattle_baseline__std,s2__composite__b08__post_winter_baseline__std,0.1987901549973191,0.17525588612694334,0.19299218315583788,0.017736297028894538
Avdiivka,s2__composite__b11__max,s2__composite__b11__prebattle_baseline__max,s2__composite__b11__post_winter_baseline__max,0.3068369343801839,0.5547282981707499,0.2791366960028771,-0.27559160216787276
Avdiivka,s2__composite__b11__mean,s2__composite__b11__prebattle_baseline__mean,s2__composite__b11__post_winter_baseline__mean,0.30817561591888637,0.6424159231297185,0.2622772605183039,-0.3801386626114146
Avdiivka,s2__composite__b11__min,s2__composite__b11__prebattle_baseline__min,s2__composite__b11__post_winter_baseline__min,0.3068239258044384,0.704704069952345,0.24856339479561557,-0.45614067515672946
Avdiivka,s2__composite__b11__p10,s2__composite__b11__prebattle_baseline__p10,s2__composite__b11__post_winter_baseline__p10,0.30676792528675295,0.6996236296474833,0.2511405094537289,-0.44848312019375436
Avdiivka,s2__composite__b11__p50,s2__composite__b11__prebattle_baseline__p50,s2__composite__b11__post_winter_baseline__p50,0.31026760463507547,0.6399415115286959,0.2639596973091874,-0.37598181421950855
Avdiivka,s2__composite__b11__p90,s2__composite__b11__prebattle_baseline__p90,s2__composite__b11__post_winter_baseline__p90,0.31017373762339545,0.5482229715615767,0.28091455740730265,-0.2673084141542741
Avdiivka,s2__composite__b11__std,s2__composite__b11__prebattle_baseline__std,s2__composite__b11__post_winter_baseline__std,0.3503188126751705,0.566366267792665,0.32245440123693125,-0.24391186655573371
Avdiivka,s2__composite__b12__max,s2__composite__b12__prebattle_baseline__max,s2__composite__b12__post_winter_baseline__max,0.468143121308508,0.5883463204150045,0.4585295944285258,-0.12981672598647864
Avdiivka,s2__composite__b12__mean,s2__composite__b12__prebattle_baseline__mean,s2__composite__b12__post_winter_baseline__mean,0.48538367383012393,0.6534869147444121,0.4657888506787728,-0.18769806406563933
Avdiivka,s2__composite__b12__min,s2__composite__b12__prebattle_baseline__min,s2__composite__b12__post_winter_baseline__min,0.4997270703181785,0.7529915550117872,0.466182969624123,-0.2868085853876642
Avdiivka,s2__composite__b12__p10,s2__composite__b12__prebattle_baseline__p10,s2__composite__b12__post_winter_baseline__p10,0.4917608266935641,0.7326400286473097,0.46180216656306183,-0.27083786208424787
Avdiivka,s2__composite__b12__p50,s2__composite__b12__prebattle_baseline__p50,s2__composite__b12__post_winter_baseline__p50,0.4749480699720795,0.6329563426934439,0.45745822141966974,-0.17549812127377418
Avdiivka,s2__composite__b12__p90,s2__composite__b12__prebattle_baseline__p90,s2__composite__b12__post_winter_baseline__p90,0.47263545512716304,0.5709468532720599,0.4646894043458305,-0.10625744892622935
Avdiivka,s2__composite__b12__std,s2__composite__b12__prebattle_baseline__std,s2__composite__b12__post_winter_baseline__std,0.4492168159325651,0.5352570797648533,0.4312213075005704,-0.10403577226428284
Avdiivka,s2__composite__b8a__max,s2__composite__b8a__prebattle_baseline__max,s2__composite__b8a__post_winter_baseline__max,0.026219719962775917,0.12397421742114527,0.03289853478044413,-0.09107568264070114
Avdiivka,s2__composite__b8a__mean,s2__composite__b8a__prebattle_baseline__mean,s2__composite__b8a__post_winter_baseline__mean,0.06761985752856951,0.2485303333233863,0.06655805018021019,-0.18197228314317612
Avdiivka,s2__composite__b8a__min,s2__composite__b8a__prebattle_baseline__min,s2__composite__b8a__post_winter_baseline__min,0.12058423980663946,0.4154189327421019,0.10544125692843245,-0.3099776758136694
Avdiivka,s2__composite__b8a__p10,s2__composite__b8a__prebattle_baseline__p10,s2__composite__b8a__post_winter_baseline__p10,0.10947708933610031,0.392902304105506,0.09683202949984754,-0.29607027460565843
Avdiivka,s2__composite__b8a__p50,s2__composite__b8a__prebattle_baseline__p50,s2__composite__b8a__post_winter_baseline__p50,0.06981948050390761,0.2508141013942033,0.07171726446544834,-0.17909683692875494
Avdiivka,s2__composite__b8a__p90,s2__composite__b8a__prebattle_baseline__p90,s2__composite__b8a__post_winter_baseline__p90,0.031863342987302756,0.14581779117304763,0.03827338295976408,-0.10754440821328355
Avdiivka,s2__composite__b8a__std,s2__composite__b8a__prebattle_baseline__std,s2__composite__b8a__post_winter_baseline__std,0.18103560757815568,0.18180597415773922,0.15240543761515823,-0.029400536542580985
