city,feature,n_damaged,n_control,mean_damaged,mean_control,std_damaged,std_control,cohens_d,mann_whitney_u,mann_whitney_p,rank_biserial,significant_005,effect_size_label
Avdiivka,s2__composite__ndwi__winter_baseline,93,1093,-0.116302274,-0.17895557,0.075801305,0.0617734,0.9948840737342834,76609.0,4.2444700891510175e-16,-0.5073242235536011,True,large
Avdiivka,s2__obs_count__winter_baseline,93,1093,4.860215,5.0365963,0.6851118,0.5949545,-0.2927761375904083,44443.5,0.014242224276620388,0.1255496856830859,True,small
Avdiivka,s2__composite__b02__delta,93,1093,0.23698552,0.16598412,0.14204505,0.10165648,0.6739503741264343,66655.0,5.968578558396792e-07,-0.31147379708605105,True,medium
Avdiivka,s2__composite__b03__delta,93,1093,0.2245054,0.15495595,0.14123957,0.09908566,0.6753599643707275,65994.5,1.7189854856636987e-06,-0.29847809619376475,True,medium
Avdiivka,s2__composite__b04__delta,93,1093,0.2245957,0.15476514,0.1432126,0.100424014,0.6690081357955933,65802.5,2.31954452747712e-06,-0.294700390559671,True,medium
Avdiivka,s2__composite__b05__delta,93,1093,0.21299334,0.16311312,0.1135203,0.09001121,0.5418623089790344,64854.0,9.677437938458617e-06,-0.2760381312162441,True,medium
Avdiivka,s2__composite__b07__delta,93,1093,0.19313683,0.14401357,0.10549812,0.08139356,0.5881882905960083,66138.0,1.3709177565191445e-06,-0.3013015376442463,True,medium
Avdiivka,s2__composite__b08__delta,93,1093,0.21341129,0.13888294,0.14012422,0.09686335,0.7386963963508606,67267.5,2.1556074091223558e-07,-0.3235250715698137,True,medium
Avdiivka,s2__composite__b11__delta,93,1093,-0.02269728,-0.035688262,0.035458937,0.02998863,0.42664834856987,64830.5,1.001511428975444e-05,-0.2755757557870713,True,small
Avdiivka,s2__composite__b12__delta,93,1093,-0.0111171715,-0.02164565,0.029177684,0.021034943,0.483467161655426,66507.0,7.592660148574712e-07,-0.3085618156597705,True,small
