model_id,variant_id,group,auc,n_samples,n_cities,TP,FN,FP,TN,is_leaky,is_degenerate,modality,modality_family,is_accumulator
B7_UISEM_coh+ms,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=coh+ms,points_v3plus,0.6361960789782071,62043,19,227,7853,481,53482,False,False,other,other,False
R3_ms_plus_cohdrop_F7,nb09a;cell=R3,points_v3plus,0.6347923329859481,51293,11,167,6700,221,44205,False,False,other,other,False
E7b_RidgeClassifier,probabilistic;classifier=RidgeClassifier,points_v3plus,0.6339788545525233,62043,19,4444,3636,19144,34819,False,False,other,other,False
R5_XGBoost_all_multimodal,nb09a;cell=R5,points_v3plus,0.6332572873088876,62043,19,153,7927,364,53599,False,False,multimodal_all,multimodal,False
E1_base_GBM,stacking_base;classifier=GBM;features=all_multimodal,points_v3plus,0.6321186060195628,62043,19,225,7855,588,53375,False,False,multimodal_all,multimodal,False
R5_GBM_all_multimodal,nb09a;cell=R5,points_v3plus,0.6321186060195628,62043,19,225,7855,588,53375,False,False,multimodal_all,multimodal,False
D1i_allblocks_random,random_cv,points_v3plus,0.6320555579411695,63243,21,200,8047,355,54641,True,False,other,other,False
E7d_MLP_256_128_64,mlp;classifier=MLP_256_128_64,points_v3plus,0.6316471803745984,62043,19,128,7952,338,53625,False,False,other,other,False
R5_LightGBM_all_multimodal,nb09a;cell=R5,points_v3plus,0.6313046865811797,62043,19,2177,5903,7490,46473,False,False,multimodal_all,multimodal,False
E7b_LDA,discriminant;classifier=LDA,points_v3plus,0.6305296884297142,62043,19,288,7792,1110,52853,False,False,other,other,False
E6_B_nativeNaN_all_multimodal,nan_ablation;strategy=B_native_nan;modality=all_multimodal,points_v3plus,0.6299615908443317,62043,19,2138,5942,7317,46646,False,False,multimodal_all,multimodal,False
E5_LightGBM_native_NaN,lightgbm_native_nan;imputation=none,points_v3plus,0.6299615908443317,62043,19,2138,5942,7317,46646,False,False,other,other,False
R4b_tier1_card,nb09a;cell=R4b,points_v3plus,0.6274857370314826,19020,11,167,2115,331,16407,False,False,other,other,False
R4_tier1_dietrich28,nb09a;cell=R4,points_v3plus,0.6274857370314826,19020,11,167,2115,331,16407,False,False,other,other,False
R4b_tier1_all,nb09a;cell=R4b,points_v3plus,0.6271128354370032,18513,10,4,2210,4,16295,False,False,other,other,False
E7_LogReg,non_tree;classifier=LogReg;features=all_multimodal,points_v3plus,0.627063072460907,62043,19,4390,3690,19117,34846,False,False,multimodal_all,multimodal,False
B5_sub_XGB_full_F8_bldg,unsupervised;aggregation=building_max_vote;derived_from=B5_sub_XGB_full_F8,points_v3plus,0.6254105889838554,56090,19,4475,2387,23571,25657,False,False,other,other,False
D1c_post_composite,post_only,points_v3plus,0.6232245145784708,62043,19,193,7887,196,53767,False,False,other,other,False
B3_logratio_NDBI,unsupervised_logratio;sensor=optical;label=NDBI;direction=|logratio|,points_v3plus,0.6218959318767381,3533,5,262,145,1505,1621,False,False,MS_unsupervised,MS,False
R1_random_cv,nb09a;cell=R1,points_v3plus,0.6215263168097245,63243,21,233,8014,434,54562,False,False,other,other,False
D6_fusion,sensor=fusion_MS_SAR_COH,points_v3plus,0.6188741001172104,51293,11,69,6798,88,44338,False,False,other,other,False
D3_clean,leakage_demo_clean,points_v3plus,0.6188740919224598,51293,11,69,6798,88,44338,True,False,other,other,False
D3_leaky,leakage_demo_with_leaks,points_v3plus,0.6173435878248582,51293,11,68,6799,62,44364,True,False,other,other,False
B5_sub_XGB_full_F8,,points_v3plus,0.6112239159376345,62043,19,1027,7053,3290,50673,False,False,other,other,False
E7b_NearestCentroid,probabilistic;classifier=NearestCentroid,points_v3plus,0.6063622422899592,62043,19,4039,4041,19165,34798,False,False,other,other,False
E1_base_XGB,stacking_base;classifier=XGB;features=all_multimodal,points_v3plus,0.602301184823558,62043,19,879,7201,2850,51113,False,False,multimodal_all,multimodal,False
B5_sub_XGB,uisem_sub_classifier;classifier=XGBoost;features=all_multimodal,points_v3plus,0.602301184823558,62043,19,879,7201,2850,51113,False,False,multimodal_all,multimodal,False
D1j_dynamic_random,random_cv,points_v3plus,0.601905688202274,293116,21,8652,20891,61235,202338,True,False,other,other,False
E7d_MLP_128_64,mlp;classifier=MLP_128_64,points_v3plus,0.6018208582319788,62043,19,232,7848,602,53361,False,False,other,other,False
L2b_ndvi_delta,plausibility_standalone;signal=ndvi_delta;higher_is_damage=False,points_v3plus,0.5995116130175737,62043,19,5202,2878,25820,28143,False,False,other,other,False
B3_logratio_BSI,unsupervised_logratio;sensor=optical;label=BSI;direction=|logratio|,points_v3plus,0.5887256127179351,3533,5,257,150,1510,1616,False,False,MS_unsupervised,MS,False
B4_step3_card+coh+optical,unsupervised_combined;step=step3_card+coh+optical;n_scores=8,points_v3plus,0.5876693327037158,1186,1,60,33,534,559,False,False,SAR_card+coh,SAR,False
D1j_dynamic_groupkfold,groupkfold_cv,points_v3plus,0.5846232923671831,293116,21,8138,21405,56901,206672,False,False,other,other,False
E7_KNN_15,non_tree;classifier=KNN_15;features=all_multimodal,points_v3plus,0.5800644872550187,62043,19,123,7957,292,53671,False,False,multimodal_all,multimodal,False
E7b_QDA,discriminant;classifier=QDA,points_v3plus,0.5764989414272301,62043,19,2051,6029,9114,44849,False,False,other,other,False
B4_step4_all+methods,unsupervised_combined;step=step4_all+methods;n_scores=18,points_v3plus,0.5737783942783501,1186,1,54,39,540,553,False,False,other,other,False
R4_tier1_ms,nb09a;cell=R4,points_v3plus,0.5709428585379377,18513,10,87,2127,473,15826,False,False,other,other,False
E7_KNN_5,non_tree;classifier=KNN_5;features=all_multimodal,points_v3plus,0.5644825178619821,62043,19,416,7664,1549,52414,False,False,multimodal_all,multimodal,False
B1_PWTT_VV+VH_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B1_PWTT_VV+VH_faithful,points_v3plus,0.554904593770006,56562,20,3915,3005,24367,25275,False,False,other,other,False
R4b_tier2_card,nb09a;cell=R4b,points_v3plus,0.5510946597815461,4226,6,2,504,12,3708,False,False,other,other,False
R4_tier2_dietrich28,nb09a;cell=R4,points_v3plus,0.5510946597815461,4226,6,2,504,12,3708,False,False,other,other,False
R1_geographic_70_30,nb09a;cell=R1,points_v3plus,0.5503191279884049,9121,7,19,1108,75,7919,False,False,other,other,False
B1_PWTT_VH_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B1_PWTT_VH_faithful,points_v3plus,0.5461197928613963,56562,20,3861,3059,24421,25221,False,False,other,other,False
R1_groupkfold,nb09a;cell=R1,points_v3plus,0.5454552817638035,63243,21,21,8226,44,54952,False,False,other,other,False
R5_RF-200_dietrich28,nb09a;cell=R5,points_v3plus,0.5454552817638035,63243,21,21,8226,44,54952,False,False,other,other,False
R0_dietrich28_faithful_groupkfold,nb09a;cell=R0,points_v3plus,0.5454552817638035,63243,21,21,8226,44,54952,False,False,other,other,False
E6_A_impute+obs_card+coh,nan_ablation;strategy=A_impute+obs;modality=card+coh,points_v3plus,0.5448797126854246,62043,19,24,8056,73,53890,False,False,SAR_card+coh,SAR,False
B3_logratio_UI,unsupervised_logratio;sensor=optical;label=UI;direction=|logratio|,points_v3plus,0.5441733829449761,3533,5,222,185,1545,1581,False,False,SAR_unsupervised,SAR,False
R3b_card_coh,nb09a;cell=R3b,points_v3plus,0.542348438047852,62043,19,23,8057,71,53892,False,False,other,other,False
R5_ExtraTrees_dietrich28,nb09a;cell=R5,points_v3plus,0.5413694482739942,63243,21,111,8136,204,54792,False,False,other,other,False
E6_C_SAR_only_no_NaN,nan_ablation;strategy=C_sar_only_no_nan;modality=card+coh,points_v3plus,0.5413691825513742,62043,19,22,8058,69,53894,False,False,SAR_card+coh,SAR,False
