file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_CLF_A9_GBM__20260423_221659_5eca93.parquet,CLF_A9_GBM,classifier=GBM;parquet=A9,480313,10,7176,221,472906
oof_CLF_A9_LightGBM__20260423_221659_5eca93.parquet,CLF_A9_LightGBM,classifier=LightGBM;parquet=A9,480313,2815,4371,81345,391782
oof_CLF_A9_RF_200__20260422_135115_5eca93.parquet,CLF_A9_RF_200,classifier=RF_200;parquet=A9,480313,165,7021,19163,453964
oof_CLF_A9_RF_200__20260423_221659_5eca93.parquet,CLF_A9_RF_200,classifier=RF_200;parquet=A9,480313,167,7019,19164,453963
oof_CLF_A9_XGBoost__20260423_221659_5eca93.parquet,CLF_A9_XGBoost,classifier=XGBoost;parquet=A9,480313,220,6966,2571,470556
oof_CLF_F7_ExtraTrees__20260423_221659_5eca93.parquet,CLF_F7_ExtraTrees,classifier=ExtraTrees;parquet=F7,480313,333,6853,19016,454111
oof_CLF_F7_GBM__20260423_221659_5eca93.parquet,CLF_F7_GBM,classifier=GBM;parquet=F7,480313,27,7159,469,472658
oof_CLF_F7_LightGBM__20260423_221659_5eca93.parquet,CLF_F7_LightGBM,classifier=LightGBM;parquet=F7,480313,3759,3427,58156,414971
oof_CLF_F7_RF_200__20260423_221659_5eca93.parquet,CLF_F7_RF_200,classifier=RF_200;parquet=F7,480313,211,6975,18873,454254
oof_CLF_F7_XGBoost__20260423_221659_5eca93.parquet,CLF_F7_XGBoost,classifier=XGBoost;parquet=F7,480313,419,6767,1302,471825
