model_id,auc_v2,modality,auc_v3,delta_v2_minus_v3
E7b_NearestCentroid,0.6782506463974484,other,0.6063622422899592,0.0718884041074892
D6_sar_only,0.5882386501050916,SAR_all,0.5196565702810728,0.06858207982401876
E7b_GaussianNB,0.5637564969481723,other,0.4982916214318466,0.06546487551632574
B7_UISEM_card+ms,0.7162411901555579,other,0.6540957106106623,0.06214547954489558
L2b_ndvi_delta,0.660706416281496,other,0.5995116130175737,0.06119480326392224
E6_A_impute+obs_coh_only,0.543675869605998,SAR_coh_only,0.48521864334803655,0.05845722625796146
B6_UISEM_no_AdaBoost,0.702445937832879,multimodal_all,0.6458528331568587,0.0565931046760203
B7_UISEM_all_multimodal,0.7024458169466371,multimodal_all,0.6458528331568587,0.056592983789778395
E7b_LDA,0.6858962212130549,other,0.6305296884297142,0.055366532783340694
E1_base_XGB,0.6572826497317478,multimodal_all,0.602301184823558,0.05498146490818978
B7_UISEM_coh+ms,0.688314854706523,other,0.6361960789782071,0.052118775728315914
B3_logratio_UI,0.5899706892015268,SAR_unsupervised,0.5441733829449761,0.04579730625655076
B1_PWTT_VV_exact,0.5711952140799923,other,0.525974041167181,0.04522117291281125
B1_PWTT_VH_exact,0.5733681641054026,other,0.5311892540593681,0.04217891004603447
E1_soft_voting,0.6852765260209384,other,0.6479789507405422,0.03729757528039612
E6_A_impute+obs_card_only,0.5715948817494227,SAR_card_only,0.5360741330280759,0.035520748721346806
B4_step2_card+coh,0.5721801616017013,SAR_card+coh,0.5368024991420628,0.03537766245963847
B4_step4_all+methods,0.6083070928064443,other,0.5737783942783501,0.03452869852809426
B3_logratio_BSI,0.6231529239435386,MS_unsupervised,0.5887256127179351,0.034427311225603496
E6_C_SAR_only_no_NaN,0.5736984341795477,SAR_card+coh,0.5413691825513742,0.03232925162817346
E6_A_impute+obs_card+coh,0.575851167390106,SAR_card+coh,0.5448797126854246,0.030971454704681434
E7_LogReg,0.6551310950496604,multimodal_all,0.627063072460907,0.028068022588753405
E7_KNN_5,0.5895365735294607,multimodal_all,0.5644825178619821,0.025054055667478536
D2_coh-only,0.5131790847064491,other,0.491374857736223,0.021804226970226104
E7b_QDA,0.5924004380108624,other,0.5764989414272301,0.01590149658363227
B1_PWTT_VV+VH,0.5456191379375988,other,0.5385061396568638,0.007112998280734972
B3_logratio_NDBI,0.6263474531887225,MS_unsupervised,0.6218959318767381,0.004451521311984452
B0_single_s1_vh_mean,0.5224759023693848,other,0.5229742735657845,-0.0004983711963997273
D1d_pre+post+delta,0.5078956815708293,other,0.5144501233080188,-0.0065544417371894426
D1_pre+post+delta,0.5078956815708293,other,0.5144501233080188,-0.0065544417371894426
E1_stacking_LogReg,0.6361581549002894,other,0.6487429895584855,-0.012584834658196153
D1_delta_only,0.4947185131665759,other,0.5122693833403169,-0.017550870173741018
D1d_delta_only,0.4947185131665759,other,0.5122693833403169,-0.017550870173741018
B3_logratio_IBI,0.5011502176114206,SAR_unsupervised,0.5216390705834084,-0.02048885297198777
D1_pre+post,0.48021125678830273,other,0.5033692067493242,-0.02315794996102144
E2_LightGBM_ms,0.6199677068320102,MS_only,0.6455003994761354,-0.025532692644125166
B0_single_s1_vv_mean,0.48935024794247056,other,0.5184193351125514,-0.029069087170080887
D6_fusion,0.5849206763099216,other,0.6188741001172104,-0.03395342380728883
B4_step3_card+coh+optical,0.5511761465636754,SAR_card+coh,0.5876693327037158,-0.03649318614004038
B5_sub_RF,0.6208657711930357,multimodal_all,0.6591263692229165,-0.0382605980298808
D1f_roll7_assess,0.42310980517291286,other,0.4781416623943893,-0.055031857221476466
B7_UISEM_ms_only,0.5899315158909838,MS_only,0.6465070515863178,-0.05657553569533402
D1d_post_only,0.44911832468584856,other,0.5057814019795374,-0.0566630772936888
D1_post_only,0.44911832468584856,other,0.5057814019795374,-0.0566630772936888
E7_KNN_15,0.5223960290992753,multimodal_all,0.5800644872550187,-0.057668458155743396
E7c_ExtraTrees,0.594492860445385,other,0.661729654146965,-0.06723679370158009
B3_logratio_NDVI,0.660706416281496,MS_unsupervised,0.7368448975934581,-0.0761384813119621
D1_blk_pre+post_mean,0.4198806606747905,other,0.5003283129521207,-0.08044765227733014
R3b_ms_only,0.5707177199890521,MS_only,0.6514700735542487,-0.08075235356519661
D1_blk_post_block_all,0.44068106514317495,other,0.5223519855094371,-0.08167092036626211
D1_blk_pre_baseline_all,0.44068106548918445,other,0.5236957255521997,-0.08301466006301522
R3b_coh_ms,0.5666314079441583,other,0.651386077607631,-0.08475466966347267
R3b_card_ms,0.5798080777199779,other,0.6674139303002442,-0.08760585258026632
D2_sar_+_ms,0.5665994164738162,multimodal_SAR+MS,0.6554483379976344,-0.08884892152381818
D1_blk_pre+post_all,0.43524801839424476,other,0.5256366517893432,-0.0903886333950984
D2_sar_+_ms_+_coh,0.5557846090026363,multimodal_all,0.6468040785371274,-0.09101946953449114
B3_logratio_SAVI,0.648713904783242,MS_unsupervised,0.7406502646425871,-0.09193635985934512
D4_f8_strategy_B_impute,0.5534696707075419,other,0.6464426888665739,-0.09297301815903192
D2_all_features,0.5534696639426184,multimodal_all,0.6464426980404432,-0.09297303409782476
D1d_pre_only,0.40533522260274635,other,0.5053539140732551,-0.10001869147050879
D1_pre_only,0.40533522260274635,other,0.5053539140732551,-0.10001869147050879
D1_blk_post_block_mean,0.39778794071218254,other,0.4985494717637809,-0.10076153105159835
D1_blk_pre_baseline_mean,0.39778794071218254,other,0.4985494717637809,-0.10076153105159835
E6_A_impute+obs_all_multimodal,0.5506665595224546,multimodal_all,0.6557673088436283,-0.10510074932117375
E1_base_RF,0.5451230151551756,multimodal_all,0.6591263692229163,-0.11400335406774076
D1c_post_composite,0.5022936105501572,other,0.6232245145784708,-0.12093090402831363
D2_ms-only,0.5052737883342413,other,0.6459132625801728,-0.14063947424593148
D1c_pre_composite,0.4957477477638691,other,0.6431124825994636,-0.14736473483559454
R4_tier1_ms,0.42323083296606967,other,0.5709428585379377,-0.14771202557186802
D4_a9_ms_only,0.49574774776386915,MS_only,0.6463633463651204,-0.15061559860125123
D6_ms_only,0.4957477477638691,MS_only,0.6463633509520549,-0.1506156031881858
D1f_roll3_assess,0.2940463430434439,other,0.4781416623943893,-0.18409531935094542
B3_logratio_NDSI,0.2739036900588485,SAR_unsupervised,0.5176155915119447,-0.24371190145309618
B3_logratio_MNDWI,0.2739036900588485,SAR_unsupervised,0.5176155915119447,-0.24371190145309618
D1j_dynamic_groupkfold,0.32412275924962297,other,0.5846232923671831,-0.26050053311756016
L2b_coh_drop,0.1908082129307484,SAR_coh_unsupervised,0.4851259152768728,-0.2943177023461244
R3_coh_only_A14,0.20502871599538194,SAR_coh_only,0.5241880476003031,-0.31915933160492116
