city,feature,n,mean,std,skewness,kurtosis,shapiro_stat,shapiro_p,is_normal_005,pct_nan
Avdiivka,s2__composite__b05__post_winter_baseline__max_abs_delta,1186,0.06574818,0.049720872,1.9549872,5.368414,0.829034845337652,8.750644095216031e-34,False,0.0
Avdiivka,s2__composite__b07__post_winter_baseline__mean,1186,0.38938177,0.07950892,1.2470543,2.9138598,0.9295581847698102,3.511832956751011e-23,False,0.0
Avdiivka,s2__composite__b07__post_winter_baseline__p10,1186,0.36624786,0.07243423,1.218218,3.406674,0.9362319773256428,4.0222393302924284e-22,False,0.0
Avdiivka,s2__composite__b07__post_winter_baseline__p50,1186,0.38820937,0.080552585,1.287692,3.149805,0.9264022179758807,1.1772230237935706e-23,False,0.0
Avdiivka,s2__composite__b07__post_winter_baseline__p90,1186,0.41364086,0.08960526,1.2205349,2.3361273,0.9269493912608248,1.4191978729422185e-23,False,0.0
Avdiivka,s2__composite__b07__post_winter_baseline__std,1186,0.019957704,0.015363923,1.971834,5.234722,0.8224061526172162,2.754225455317428e-34,False,0.0
Avdiivka,s2__composite__b07__post_winter_baseline__min,1186,0.36025354,0.070622176,1.2009193,3.4669662,0.9386728354157718,1.029108510200251e-21,False,0.0
Avdiivka,s2__composite__b07__post_winter_baseline__max,1186,0.42143735,0.09242307,1.1936984,2.1090255,0.9273023597467471,1.6019779872133637e-23,False,0.0
Avdiivka,s2__composite__b07__post_winter_baseline__max_abs_delta,1186,0.061183814,0.04548303,1.8625065,4.7449994,0.8374741926597833,4.01917636755169e-33,False,0.0
Avdiivka,s2__composite__b08__post_winter_baseline__mean,1186,0.40518856,0.086342186,1.3244102,3.1374745,0.9217370520703598,2.4921401207399087e-24,False,0.0
Avdiivka,s2__composite__b08__post_winter_baseline__p10,1186,0.35627893,0.07461375,1.4365169,5.277663,0.9216216423912795,2.40038938220896e-24,False,0.0
Avdiivka,s2__composite__b08__post_winter_baseline__p50,1186,0.4023836,0.08826789,1.3641362,3.2008352,0.91572749869977,3.7282200604832243e-25,False,0.0
Avdiivka,s2__composite__b08__post_winter_baseline__p90,1186,0.4567803,0.10800503,1.1990628,1.7954178,0.9221379440391126,2.839896961513316e-24,False,0.0
Avdiivka,s2__composite__b08__post_winter_baseline__std,1186,0.043503143,0.028069207,1.700921,3.588077,0.853449829273592,8.630315981396508e-32,False,0.0
Avdiivka,s2__composite__b08__post_winter_baseline__min,1186,0.3413098,0.07156987,1.3995628,5.598918,0.9250543259882289,7.461000018261533e-24,False,0.0
Avdiivka,s2__composite__b08__post_winter_baseline__max,1186,0.47788665,0.11583001,1.1233351,1.3857789,0.9265887696994574,1.2545447697983101e-23,False,0.0
Avdiivka,s2__composite__b08__post_winter_baseline__max_abs_delta,1186,0.13657689,0.083858274,1.4713161,2.4087377,0.8775805624510408,1.5261821579851757e-29,False,0.0
Avdiivka,s2__composite__b11__post_winter_baseline__mean,1186,0.22414176,0.021673793,0.49162927,1.1824503,0.9753474125842152,2.421917239575274e-13,False,0.0
Avdiivka,s2__composite__b11__post_winter_baseline__p10,1186,0.21881062,0.02157417,0.3879291,1.3248158,0.9743516925895105,1.1650891512204075e-13,False,0.0
Avdiivka,s2__composite__b11__post_winter_baseline__p50,1186,0.22391225,0.021817634,0.5036937,1.2660465,0.974573226849865,1.3688031318974622e-13,False,0.0
Avdiivka,s2__composite__b11__post_winter_baseline__p90,1186,0.22969817,0.022743737,0.6484804,1.5632782,0.9725016352516744,3.1422947376067904e-14,False,0.0
