model_id,city,n_overture,n_labeled,n_no_unosat,pct_labeled,TP,FN,FP,TN
B0_single_s1_coh_max_dropX,Borodyanka,49969,5240,44729,10.5,50,12,5061,117
B0_single_s1_coh_max_dropX,Bucha,17367,17215,152,99.1,158,0,17049,8
B0_single_s1_coh_max_dropX,Chernihiv,58626,51375,7251,87.6,333,0,51042,0
B0_single_s1_coh_max_dropX,Chornobaivka,10829,9909,920,91.5,0,6,0,9903
B0_single_s1_coh_max_dropX,Dmytrivka,13650,13649,1,100.0,144,0,13502,3
B0_single_s1_coh_max_dropX,Hostomel,19798,19145,653,96.7,502,9,18570,64
B0_single_s1_coh_max_dropX,Irpin,17686,17365,321,98.2,245,4,16982,134
B0_single_s1_coh_max_dropX,Kharkiv,213845,170104,43741,79.5,0,238,0,169866
B0_single_s1_coh_max_dropX,Kherson,10829,9909,920,91.5,0,6,0,9903
B0_single_s1_coh_max_dropX,Kramatorsk,58518,10414,48104,17.8,0,19,0,10395
B0_single_s1_coh_max_dropX,Lysychansk,47169,41600,5569,88.2,1071,0,40516,13
B0_single_s1_coh_max_dropX,Makariv,7742,5554,2188,71.7,53,0,5501,0
B0_single_s1_coh_max_dropX,Mariupol,119107,28973,90134,24.3,2990,65,25828,90
B0_single_s1_coh_max_dropX,Moschun,20565,1248,19317,6.1,73,0,1173,2
B0_single_s1_coh_max_dropX,Mykolaiv,137326,113042,24284,82.3,0,84,0,112958
B0_single_s1_coh_max_dropX,Okhtyrka,27603,26456,1147,95.8,35,0,26334,87
B0_single_s1_coh_max_dropX,Rubizhne,16687,13609,3078,81.6,431,0,13178,0
B0_single_s1_coh_max_dropX,Sievierodonetsk,14151,9065,5086,64.1,494,40,8337,194
B0_single_s1_coh_max_dropX,Trostianets,18656,8737,9919,46.8,18,0,8719,0
B0_single_s1_coh_max_dropX,Volnovakha,13888,13463,425,96.9,159,4,13234,66
CLF_F7_XGBoost,Avdiivka,13360,12523,837,93.7,2,87,18,12416
CLF_F7_XGBoost,Borodyanka,49969,0,49969,0.0,0,0,0,0
CLF_F7_XGBoost,Bucha,17367,17215,152,99.1,4,154,9,17048
CLF_F7_XGBoost,Chernihiv,58626,51375,7251,87.6,3,330,93,50949
CLF_F7_XGBoost,Chornobaivka,10829,9909,920,91.5,1,5,2,9901
CLF_F7_XGBoost,Dmytrivka,13650,13649,1,100.0,8,136,11,13494
CLF_F7_XGBoost,Hostomel,19798,19145,653,96.7,3,508,63,18571
CLF_F7_XGBoost,Irpin,17686,17365,321,98.2,6,243,11,17105
CLF_F7_XGBoost,Kharkiv,213845,170104,43741,79.5,0,238,0,169866
CLF_F7_XGBoost,Kherson,10829,9909,920,91.5,1,5,0,9903
CLF_F7_XGBoost,Kramatorsk,58518,10414,48104,17.8,0,19,2,10393
CLF_F7_XGBoost,Lysychansk,47169,41600,5569,88.2,143,928,365,40164
CLF_F7_XGBoost,Makariv,7742,5554,2188,71.7,0,53,5,5496
