model_id,group,city,n_labeled,n_no_unosat,TP,FN,FP,TN
E1_base_LGBM,buildings_v2,Trostianets,8737,0,0,18,130,8589
E1_base_LGBM,buildings_v2,Volnovakha,13463,0,51,112,2294,11006
E2_LightGBM_all,buildings_v2,Avdiivka,12523,0,2,87,14,12420
E2_LightGBM_all,buildings_v2,Bucha,17215,0,72,86,654,16403
E2_LightGBM_all,buildings_v2,Chernihiv,51375,0,134,199,8829,42213
E2_LightGBM_all,buildings_v2,Chornobaivka,9909,0,0,6,1,9902
E2_LightGBM_all,buildings_v2,Dmytrivka,13649,0,60,84,419,13086
E2_LightGBM_all,buildings_v2,Hostomel,19145,0,217,294,2955,15679
E2_LightGBM_all,buildings_v2,Irpin,17365,0,92,157,1368,15748
E2_LightGBM_all,buildings_v2,Kharkiv,170104,0,0,238,2,169864
E2_LightGBM_all,buildings_v2,Kherson,9909,0,1,5,237,9666
E2_LightGBM_all,buildings_v2,Kramatorsk,10414,0,0,19,38,10357
E2_LightGBM_all,buildings_v2,Lysychansk,41600,0,786,285,25960,14569
E2_LightGBM_all,buildings_v2,Makariv,5554,0,17,36,184,5317
E2_LightGBM_all,buildings_v2,Mariupol,28973,0,1435,1620,3476,22442
E2_LightGBM_all,buildings_v2,Moschun,1248,0,13,60,133,1042
E2_LightGBM_all,buildings_v2,Okhtyrka,26456,0,13,22,2535,23886
E2_LightGBM_all,buildings_v2,Rubizhne,13609,0,124,307,1348,11830
E2_LightGBM_all,buildings_v2,Sievierodonetsk,9065,0,495,39,6800,1731
E2_LightGBM_all,buildings_v2,Trostianets,8737,0,0,18,130,8589
E2_LightGBM_all,buildings_v2,Volnovakha,13463,0,51,112,2294,11006
B0_single_s1_coh_max_dropM,buildings_v2,Avdiivka,12523,0,28,61,1233,11201
B0_single_s1_coh_max_dropM,buildings_v2,Borodyanka,5240,0,58,4,5137,41
B0_single_s1_coh_max_dropM,buildings_v2,Bucha,17215,0,158,0,17054,3
B0_single_s1_coh_max_dropM,buildings_v2,Chernihiv,51375,0,333,0,51042,0
B0_single_s1_coh_max_dropM,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
B0_single_s1_coh_max_dropM,buildings_v2,Dmytrivka,13649,0,144,0,13505,0
B0_single_s1_coh_max_dropM,buildings_v2,Hostomel,19145,0,510,1,18624,10
B0_single_s1_coh_max_dropM,buildings_v2,Irpin,17365,0,249,0,17082,34
B0_single_s1_coh_max_dropM,buildings_v2,Kharkiv,170104,0,0,238,0,169866
B0_single_s1_coh_max_dropM,buildings_v2,Kherson,9909,0,0,6,0,9903
B0_single_s1_coh_max_dropM,buildings_v2,Kramatorsk,10414,0,0,19,0,10395
B0_single_s1_coh_max_dropM,buildings_v2,Lysychansk,41600,0,1071,0,40526,3
B0_single_s1_coh_max_dropM,buildings_v2,Makariv,5554,0,53,0,5501,0
B0_single_s1_coh_max_dropM,buildings_v2,Mariupol,28973,0,3049,6,25899,19
B0_single_s1_coh_max_dropM,buildings_v2,Moschun,1248,0,73,0,1175,0
B0_single_s1_coh_max_dropM,buildings_v2,Mykolaiv,113042,0,0,84,0,112958
B0_single_s1_coh_max_dropM,buildings_v2,Okhtyrka,26456,0,35,0,26383,38
B0_single_s1_coh_max_dropM,buildings_v2,Rubizhne,13609,0,431,0,13178,0
B0_single_s1_coh_max_dropM,buildings_v2,Sievierodonetsk,9065,0,534,0,8511,20
B0_single_s1_coh_max_dropM,buildings_v2,Trostianets,8737,0,18,0,8719,0
B0_single_s1_coh_max_dropM,buildings_v2,Volnovakha,13463,0,163,0,13286,14
B5_sub_GBM,buildings_v2,Avdiivka,12523,0,2,87,51,12383
B5_sub_GBM,buildings_v2,Bucha,17215,0,0,158,2,17055
B5_sub_GBM,buildings_v2,Chernihiv,51375,0,0,333,14,51028
B5_sub_GBM,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
B5_sub_GBM,buildings_v2,Dmytrivka,13649,0,0,144,1,13504
B5_sub_GBM,buildings_v2,Hostomel,19145,0,16,495,75,18559
B5_sub_GBM,buildings_v2,Irpin,17365,0,0,249,4,17112
B5_sub_GBM,buildings_v2,Kharkiv,170104,0,0,238,0,169866
B5_sub_GBM,buildings_v2,Kherson,9909,0,0,6,6,9897
B5_sub_GBM,buildings_v2,Kramatorsk,10414,0,0,19,24,10371
B5_sub_GBM,buildings_v2,Lysychansk,41600,0,15,1056,81,40448
B5_sub_GBM,buildings_v2,Makariv,5554,0,0,53,0,5501
B5_sub_GBM,buildings_v2,Mariupol,28973,0,9,3046,31,25887
B5_sub_GBM,buildings_v2,Moschun,1248,0,0,73,0,1175
B5_sub_GBM,buildings_v2,Okhtyrka,26456,0,1,34,61,26360
B5_sub_GBM,buildings_v2,Rubizhne,13609,0,1,430,1,13177
B5_sub_GBM,buildings_v2,Sievierodonetsk,9065,0,6,528,9,8522
B5_sub_GBM,buildings_v2,Trostianets,8737,0,0,18,3,8716
B5_sub_GBM,buildings_v2,Volnovakha,13463,0,0,163,0,13300
E6_B_nativeNaN_all_multimodal,buildings_v2,Avdiivka,12523,0,0,89,0,12434
E6_B_nativeNaN_all_multimodal,buildings_v2,Bucha,17215,0,83,75,930,16127
E6_B_nativeNaN_all_multimodal,buildings_v2,Chernihiv,51375,0,134,199,8302,42740
E6_B_nativeNaN_all_multimodal,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
E6_B_nativeNaN_all_multimodal,buildings_v2,Dmytrivka,13649,0,65,79,514,12991
