city,feature,n_damaged,n_control,mean_damaged,mean_control,std_damaged,std_control,cohens_d,mann_whitney_u,mann_whitney_p,rank_biserial,significant_005,effect_size_label
Avdiivka,s2__composite__cire__post_winter_baseline_std,89,12434,0.025471141976053616,0.018299059971752987,0.01125947940499759,0.009640106080088265,0.7430334120291535,791361.0,3.832710448961166e-13,-0.43022303831646824,True,medium
Avdiivka,s2__composite__cire__post_winter_baseline_max,89,12434,0.08049459839135073,0.14698524238145944,0.0652816911188203,0.0978784588120144,-0.68064761276241,355603.0,1.6306834156794906e-09,0.3573203593626031,True,medium
Avdiivka,s2__composite__mndwi__post_winter_baseline_mean,89,12434,0.2299909838084822,0.018893730960376626,0.1758662215156358,0.2177552551308049,0.970611147858431,845500.0,4.976707503531811e-19,-0.5280682000965096,True,large
Avdiivka,s2__composite__mndwi__post_winter_baseline_std,89,12434,0.07565755558692723,0.03828380278308274,0.03408379811009491,0.022156901608749446,1.6787359019440053,929154.0,1.988036192782942e-30,-0.6792556834919838,True,large
Avdiivka,s2__composite__mndwi__post_winter_baseline_max,89,12434,0.3568635102403298,0.07427366658192458,0.19839219449412307,0.23328602324455708,1.2125248441085146,903554.0,1.2140482118450264e-26,-0.6329889230869328,True,large
Avdiivka,s2__composite__ndbi__post_winter_baseline_mean,89,12434,-0.29283196907704073,-0.1519130430745485,0.14111647072026168,0.1583183301799315,-0.8907420964248217,293162.0,2.0953843019747722e-15,0.47016968695837613,True,large
Avdiivka,s2__composite__ndbi__post_winter_baseline_std,89,12434,0.06888376536364667,0.03354471220366099,0.0327656938847245,0.018115671477279792,1.9353583521934132,938116.0,8.14666058017155e-32,-0.6954526642244083,True,large
Avdiivka,s2__composite__ndbi__post_winter_baseline_max,89,12434,-0.15621676148318298,-0.10645235181449045,0.14083785826374504,0.15031698177855374,-0.33120531828662925,437250.0,0.00039960984470382413,0.20976011769107183,True,small
Avdiivka,s2__composite__ndre__post_winter_baseline_mean,89,12434,0.01734813056405893,0.06994154672125892,0.037652296174094844,0.05001929357175964,-1.053067497460786,232250.0,1.199358581044417e-22,0.5802556599971445,True,large
Avdiivka,s2__composite__ndre__post_winter_baseline_std,89,12434,0.012501614369815471,0.00844984434426931,0.006575521548263012,0.0047534898608016145,0.8496547424079681,820041.0,4.079161278565217e-16,-0.48205626833275206,True,large
Avdiivka,s2__composite__ndre__post_winter_baseline_max,89,12434,0.04220078189417804,0.08436912778250817,0.038735648199752434,0.0535524297938481,-0.7887443926005359,310083.0,1.176418465362798e-13,0.4395884427078345,True,medium
Avdiivka,s2__composite__ndvi__post_winter_baseline_mean,89,12434,0.050550666597283384,0.1079978127450691,0.03927344067506084,0.05243675994596982,-1.0972452236743553,222236.0,5.576606986407179e-24,0.598353915414964,True,large
Avdiivka,s2__composite__ndvi__post_winter_baseline_std,89,12434,0.027241140045381588,0.022660533536442033,0.009665436932785421,0.008638156747855747,0.5298069737076971,705513.0,3.4395993385591574e-06,-0.27507034897065497,True,medium
Avdiivka,s2__composite__ndvi__post_winter_baseline_max,89,12434,0.10620029473656349,0.14501251806754845,0.04815147579449983,0.06175607955229585,-0.6293438245696509,364760.0,8.8424698005661e-09,0.3407709560411557,True,medium
Avdiivka,s2__composite__ndwi__post_winter_baseline_mean,89,12434,-0.06618792047309303,-0.12889374283959423,0.044364126685951355,0.055853725836980124,1.124138328922787,891475.0,6.016006232559505e-25,-0.6111586028161275,True,large
Avdiivka,s2__composite__ndwi__post_winter_baseline_std,89,12434,0.03280060162311643,0.024343841243994444,0.01215794475471334,0.009099863571386093,0.9267750419506398,790903.0,4.249407507569486e-13,-0.4293952970560966,True,large
Avdiivka,s2__composite__ndwi__post_winter_baseline_max,89,12434,-0.008324522442502242,-0.09287425167783653,0.06085679744756931,0.05516312815191774,1.5315538981257204,935329.0,2.2176821141843177e-31,-0.690415732144374,True,large
Avdiivka,s2__composite__b02__prebattle_baseline_mean,89,12434,0.16433149635607466,0.16201297138550266,0.02253349250002772,0.014516509280123512,0.15893114291254146,562111.0,0.7884247431435422,-0.015900584298579545,False,negligible
Avdiivka,s2__composite__b02__prebattle_baseline_std,89,12434,0.016485181429758074,0.011200699457411438,0.012115328485929167,0.007265104825135179,0.7228687782383505,760231.0,2.75880878784709e-10,-0.373961934745795,True,medium
Avdiivka,s2__composite__b02__prebattle_baseline_max,89,12434,0.19515505617254236,0.1786664130586519,0.04343110310896304,0.02398674720510448,0.6819679321698802,682340.0,8.25675232709948e-05,-0.2331898943274422,True,medium
Avdiivka,s2__composite__b03__prebattle_baseline_mean,89,12434,0.17301380734504565,0.17324244150805565,0.02305139443508934,0.015690685991824313,-0.01451237915632172,524824.0,0.38484382407749873,0.05148803660857415,False,negligible
Avdiivka,s2__composite__b03__prebattle_baseline_std,89,12434,0.017953350852106205,0.012327265214663078,0.012512636818599831,0.007680414478979327,0.7283023820199157,777198.0,8.532014338268364e-12,-0.4046263145814395,True,medium
Avdiivka,s2__composite__b03__prebattle_baseline_max,89,12434,0.20607837900686798,0.19164150038538436,0.04375183764565985,0.02560801833883055,0.560000163299524,659576.0,0.0011894201439316189,-0.19204862347351326,True,medium
Avdiivka,s2__composite__b04__prebattle_baseline_mean,89,12434,0.18390417773176984,0.18492323548716727,0.025220120969734857,0.017008396769455723,-0.05966417937147704,520896.0,0.322748882734219,0.05858709265822415,False,negligible
