cell,analysis,parquet,tier_selection,cities,n_buildings,n_features_tested,summary_metrics,top_features,note,tags,metric,value,city,feature
cell16,,fusion_indices_card,,,,,,,,,best_single_feature_auc,0.6358516180426339,ALL,s1__vh_std
cell16,,fusion_indices_card_cohdrop,,,,,,,,,best_single_feature_auc,0.8345765171413546,ALL,s1__coh__drop_count_mean
cell16,,fusion_ms_card,,,,,,,,,best_single_feature_auc,0.6358516180426339,ALL,s1__vh_std
cell16,,fusion_ms_card_cohdrop,,,,,,,,,best_single_feature_auc,0.8356250183112509,ALL,s1__coh__drop_count_mean
cell16,,fusion_ms_cohdrop,,,,,,,,,best_single_feature_auc,0.8285585896628662,ALL,s1__coh__drop_count_mean
cell16,,lu_change,,,,,,,,,best_single_feature_auc,0.7026929170566666,ALL,s2__lu__modal_post_class_mode
cell16,,ms_change,,,,,,,,,best_single_feature_auc,0.7251235135443987,ALL,s2__swir_baseline_std_max
cell16,,ms_maha,,,,,,,,,best_single_feature_auc,0.7137212442883245,ALL,s2__date_first_exceedance_mean
cell16,,prepost_single_card,,,,,,,,,best_single_feature_auc,0.7044748585711061,ALL,pre_vv_std
cell16,,rolling_card,,,,,,,,,best_single_feature_auc,0.6739552840510397,ALL,s1__vh__roll13_std
cell16,,rolling_coh,,,,,,,,,best_single_feature_auc,0.6410366481054861,ALL,s1__coh_vv__roll13_std
cell16,,rolling_stats_roll13,,,,,,,,,best_single_feature_auc,0.7433310096346142,ALL,s1__coh__baseline__median_std
cell16,,rolling_stats_roll3,,,,,,,,,best_single_feature_auc,0.7433310096346142,ALL,s1__coh__baseline__median_std
cell16,,rolling_stats_roll7,,,,,,,,,best_single_feature_auc,0.7433310096346142,ALL,s1__coh__baseline__median_std
cell16,,scene_card,,,,,,,,,best_single_feature_auc,0.6357850188016247,ALL,s1__vh_std
cell16,,scene_coh,,,,,,,,,best_single_feature_auc,0.6156554863801108,ALL,s1__coh_vh_std
cell16,,scene_indices,,,,,,,,,best_single_feature_auc,0.631751113629868,ALL,s2__mndwi_mean
cell16,,scene_landuse,,,,,,,,,best_single_feature_auc,0.5775762574413669,ALL,s2__landuse_mode
cell16,,scene_ms,,,,,,,,,best_single_feature_auc,0.6331019832272512,ALL,s2__b04_std
cell16,,scene_nbr,,,,,,,,,best_single_feature_auc,0.5456714925450583,ALL,s2__nbr_std
cell17_rolling_block,rolling_block_auc_comparison,rolling_stats+block_stats,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",480313,816,"{'mean_auc_raw': None, 'mean_auc_rolling': 0.5, 'mean_auc_block': 0.5647631706306565}","[{'feature': 's1__vh__blk02__max_std', 'mean_auc': 0.7644403415644996}, {'feature': 's1__vh__blk02__kurtosis_std', 'mean_auc': 0.7361497975089837}, {'feature': 's1__vv__blk02__std_std', 'mean_auc': 0.",Rolling + block feature AUC vs raw P1 (Cell 17),"['rolling', 'block', 'temporal', 'auc']",,,,
cell17_coh_drop,coh_drop_auc,bda_coh_drop,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",480313,20,"{'mean_auc': 0.512242948503976, 'max_auc': 0.657685161924625, 'n_cities': 19}","[{'feature': 's1__coh__date_worst_drop_std', 'mean_auc': 0.5193311218028686}, {'feature': 's1__coh__max_drop_std', 'mean_auc': 0.5191500056876468}, {'feature': 's1__coh__running_min_std', 'mean_auc': ","COH drop accumulator features (running_min, drop_count, max_drop)","['coh_drop', 'accumulator', 'change_detection', 'auc']",,,,
cell18_single_scene,single_scene_accumulator_auc,TIF_direct_sampling,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",480313,19,"{'mean_auc_rgb_prepost': 0.6010029869327546, 'mean_auc_card_prepost': 0.5407496247557783, 'mean_auc_coh_accumulator': 0.538727684778159, 'n_significant_p05': 134}","[{'feature': 's2__rgb_prepost__post__b02', 'mean_auc': 0.630731305455971}, {'feature': 's2__rgb_prepost__post__b04', 'mean_auc': 0.6263679255027265}, {'feature': 's2__rgb_prepost__post__b03', 'mean_au",Single-scene RGB/CARD pre/post + COH accumulator (Cell 18),"['single_scene', 'rgb_prepost', 'card_prepost', 'coh_accumulator', 'auc']",,,,
