classifier,manifest_key,param,default,tuned,abs_drift,rel_drift
LightGBM-MIA,card_drop,max_depth,6.0,3.0,-3.0,-0.5
LightGBM-MIA,card_drop,learning_rate,0.05,0.11103214336439576,0.06103214336439576,1.220642867287915
LightGBM-MIA,card_drop,min_child_samples,20.0,58.0,38.0,1.9
LightGBM-MIA,card_drop,reg_alpha,0.0,1.305359289514985,1.305359289514985,
LightGBM-MIA,card_drop,reg_lambda,0.0,1.5867049502182788,1.5867049502182788,
LightGBM-MIA,card_drop,feature_fraction,1.0,0.6733645826655641,-0.3266354173344359,-0.3266354173344359
LightGBM-MIA,card_drop,bagging_fraction,1.0,0.6481317060028783,-0.3518682939971217,-0.3518682939971217
LightGBM-MIA,card_drop,bagging_freq,0.0,2.0,2.0,
LightGBM-MIA,coh_drop,n_estimators,150.0,641.0,491.0,3.2733333333333334
LightGBM-MIA,coh_drop,num_leaves,31.0,62.0,31.0,1.0
LightGBM-MIA,coh_drop,max_depth,6.0,3.0,-3.0,-0.5
LightGBM-MIA,coh_drop,learning_rate,0.05,0.11506408247250169,0.06506408247250169,1.3012816494500337
LightGBM-MIA,coh_drop,min_child_samples,20.0,72.0,52.0,2.6
LightGBM-MIA,coh_drop,reg_alpha,0.0,1.4580143360819746,1.4580143360819746,
LightGBM-MIA,coh_drop,reg_lambda,0.0,1.5425406933718915,1.5425406933718915,
LightGBM-MIA,coh_drop,feature_fraction,1.0,0.5370223258670452,-0.46297767413295476,-0.46297767413295476
LightGBM-MIA,coh_drop,bagging_fraction,1.0,0.6792328642721364,-0.32076713572786364,-0.32076713572786364
LightGBM-MIA,coh_drop,bagging_freq,0.0,1.0,1.0,
LightGBM-MIA,prepost_single_card,n_estimators,150.0,525.0,375.0,2.5
LightGBM-MIA,prepost_single_card,num_leaves,31.0,56.0,25.0,0.8064516129032258
LightGBM-MIA,prepost_single_card,max_depth,6.0,3.0,-3.0,-0.5
LightGBM-MIA,prepost_single_card,learning_rate,0.05,0.17160445029754812,0.12160445029754811,2.4320890059509623
LightGBM-MIA,prepost_single_card,min_child_samples,20.0,97.0,77.0,3.85
LightGBM-MIA,prepost_single_card,reg_alpha,0.0,1.6167946962329223,1.6167946962329223,
LightGBM-MIA,prepost_single_card,reg_lambda,0.0,0.6092275383467414,0.6092275383467414,
LightGBM-MIA,prepost_single_card,feature_fraction,1.0,0.5488360570031919,-0.45116394299680807,-0.45116394299680807
LightGBM-MIA,prepost_single_card,bagging_fraction,1.0,0.8421165132560784,-0.1578834867439216,-0.1578834867439216
LightGBM-MIA,prepost_single_card,bagging_freq,0.0,4.0,4.0,
LightGBM-MIA,ms_change,n_estimators,150.0,372.0,222.0,1.48
LightGBM-MIA,ms_change,num_leaves,31.0,80.0,49.0,1.5806451612903225
LightGBM-MIA,ms_change,max_depth,6.0,11.0,5.0,0.8333333333333334
LightGBM-MIA,ms_change,learning_rate,0.05,0.02911701023242742,-0.020882989767572583,-0.41765979535145165
LightGBM-MIA,ms_change,min_child_samples,20.0,31.0,11.0,0.55
LightGBM-MIA,ms_change,reg_alpha,0.0,1.085392166316497,1.085392166316497,
LightGBM-MIA,ms_change,reg_lambda,0.0,0.2818484499495253,0.2818484499495253,
LightGBM-MIA,ms_change,feature_fraction,1.0,0.9010984903770198,-0.09890150962298017,-0.09890150962298017
LightGBM-MIA,ms_change,bagging_fraction,1.0,0.5372753218398854,-0.46272467816011464,-0.46272467816011464
LightGBM-MIA,ms_change,bagging_freq,0.0,10.0,10.0,
LightGBM-MIA,lu_change,n_estimators,150.0,161.0,11.0,0.07333333333333333
LightGBM-MIA,lu_change,num_leaves,31.0,92.0,61.0,1.967741935483871
LightGBM-MIA,lu_change,max_depth,6.0,4.0,-2.0,-0.3333333333333333
LightGBM-MIA,lu_change,learning_rate,0.05,0.12446516788685764,0.07446516788685764,1.4893033577371528
LightGBM-MIA,lu_change,min_child_samples,20.0,90.0,70.0,3.5
LightGBM-MIA,lu_change,reg_alpha,0.0,1.8019618397467667,1.8019618397467667,
LightGBM-MIA,lu_change,reg_lambda,0.0,0.3660257010497918,0.3660257010497918,
LightGBM-MIA,lu_change,feature_fraction,1.0,0.5823068036354206,-0.41769319636457936,-0.41769319636457936
LightGBM-MIA,lu_change,bagging_fraction,1.0,0.5788384972764459,-0.4211615027235541,-0.4211615027235541
LightGBM-MIA,lu_change,bagging_freq,0.0,5.0,5.0,
LightGBM-MIA,composite_vs_scenes_bands,n_estimators,150.0,767.0,617.0,4.113333333333333
LightGBM-MIA,composite_vs_scenes_bands,num_leaves,31.0,52.0,21.0,0.6774193548387096
LightGBM-MIA,composite_vs_scenes_bands,max_depth,6.0,3.0,-3.0,-0.5
LightGBM-MIA,composite_vs_scenes_bands,learning_rate,0.05,0.027917591708073366,-0.022082408291926637,-0.4416481658385327
LightGBM-MIA,composite_vs_scenes_bands,min_child_samples,20.0,44.0,24.0,1.2
LightGBM-MIA,composite_vs_scenes_bands,reg_alpha,0.0,0.8578994015010966,0.8578994015010966,
LightGBM-MIA,composite_vs_scenes_bands,reg_lambda,0.0,0.510073194764358,0.510073194764358,
LightGBM-MIA,composite_vs_scenes_bands,feature_fraction,1.0,0.9938734776393412,-0.006126522360658804,-0.006126522360658804
LightGBM-MIA,composite_vs_scenes_bands,bagging_fraction,1.0,0.564615512023486,-0.43538448797651397,-0.43538448797651397
LightGBM-MIA,composite_vs_scenes_bands,bagging_freq,0.0,1.0,1.0,
LightGBM-MIA,composite_vs_scenes_landuse,n_estimators,150.0,185.0,35.0,0.23333333333333334
LightGBM-MIA,composite_vs_scenes_landuse,num_leaves,31.0,134.0,103.0,3.3225806451612905
LightGBM-MIA,composite_vs_scenes_landuse,max_depth,6.0,3.0,-3.0,-0.5
LightGBM-MIA,composite_vs_scenes_landuse,learning_rate,0.05,0.15242391728466367,0.10242391728466367,2.0484783456932734
